,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.0244,0.0197,0.0388,0.0385,0.0148,0.0148,0.0385,0.0293,0.0613,0.0338,0.0566,0.0244,0.0481,0.0388,0.0244,0.0386,0.0338,0.0148,0.0149,0.0385,0.0294,0.0338,0.0196,0.034,0.0433,0.0385,0.0433,0.0245,0.0431,0.0385
SIEVE_pseudo_0.1,0.0148,0.01,0.0246,0.0244,0,0.005,0.0148,0.005,0.0521,0.0291,0.0476,0.0099,0.0246,0.0246,0.0099,0.01,0.0148,0.005,0.0149,0.0291,0.01,0.0099,0.0148,0.01,0.0245,0.0148,0.0148,0.0149,0.0291,0.005
SIEVE_pseudo_0.5,0.005,0.0099,0.0149,0.0196,0,0.005,0.0148,0.005,0.0431,0.0244,0.0291,0.0099,0.0198,0.0149,0.0099,0.005,0.005,0.005,0.0149,0.0196,0.0099,0.0099,0.0099,0.005,0.0245,0.0099,0.0099,0.0149,0.0244,0.0099
