,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.005,0.01,0.005,0.005,0,0,0.005,0,0.005,0.005,0.005,0.02,0.005,0.02,0.005,0.0101,0.005,0.015,0.01,0.01,0.02,0,0.005,0.01,0.01,0.005,0,0,0.01,0
SIEVE_pseudo_0.1,0.005,0.005,0.005,0,0,0,0.005,0,0,0.005,0.005,0.015,0.005,0.015,0,0.0101,0,0,0.005,0.01,0.01,0,0.005,0.01,0,0.005,0,0,0.005,0
SIEVE_pseudo_0.5,0.005,0.005,0.005,0,0,0,0.005,0,0,0,0.005,0.015,0.005,0.01,0,0.0101,0,0,0,0.005,0.005,0,0.005,0.005,0,0.005,0,0,0.005,0
