,gene_symbol,DE,adj_pval_DE,SD_ratio,LFC,DV,adj_pval_DV,DS,adj_pval_DS,de_bs,dv_bs,ds_bs
ENSG00000092010,PSME1,0.025423132,1,0.753458418,-0.4084002,-0.061941282,0.442633015,-0.828851862,2.28E-12,0,0,1
ENSG00000213676,ATF6B,-0.104195335,0.000866517,0.80313432,-0.316286804,-0.032255384,1,-0.828632455,0.492738596,0,0,0
ENSG00000173548,SNX33,0.394901578,4.67E-06,0.841132437,-0.249595124,-0.075372516,1,-0.828410715,1,1,0,0
ENSG00000118197,DDX59,0.07996407,0.318718407,0.887794853,-0.171701751,-0.023506792,1,-0.828395443,0.558613056,0,0,0
ENSG00000100564,PIGH,-0.197858462,4.82E-07,0.475483355,-1.072533256,-0.137133242,4.37E-05,-0.828231232,0.422418754,1,1,0
ENSG00000188004,SNHG28,-0.243830552,6.69E-10,1.083828771,0.116136851,0.016895171,1,-0.828183894,0.378633381,1,0,0
ENSG00000221916,C19orf73,-0.095505473,1,0.67906043,-0.558388129,-0.12666191,0.078380918,-0.827268955,0.139358053,0,0,0
ENSG00000267040,AC027097.1,0.166733933,0.276602174,1.099418688,0.136740908,0.038053047,1,-0.827105709,0.580288412,0,0,0
ENSG00000085741,WNT11,-0.203704975,0.115932342,0.735086362,-0.444014339,-0.130977437,0.332218785,-0.826597655,0.837611761,0,0,0
ENSG00000219507,FTH1P8,-0.099327262,1,0.718855083,-0.476227134,-0.146841314,0.176845032,-0.826423521,0.755374944,0,0,0
ENSG00000279103,AC138470.1,-0.196197332,0.01490221,0.647689244,-0.626626308,-0.142046209,0.027905146,-0.826366579,0.380447492,0,0,0
ENSG00000134470,IL15RA,0.278655383,0.018643752,0.799546268,-0.322746574,-0.108445716,1,-0.826339005,1,0,0,0
ENSG00000277147,LINC00869,-0.056110024,1,0.913075677,-0.131193657,-0.017423369,1,-0.826072107,0.478805472,0,0,0
ENSG00000214530,STARD10,0.128315127,0.41087935,0.679176368,-0.558141833,-0.127527648,0.067152684,-0.82598536,1,0,0,0
ENSG00000196810,CTBP1-AS2,-0.05710711,0.329349825,0.873829112,-0.194576924,-0.019255269,1,-0.825982147,0.17814498,0,0,0
ENSG00000111432,FZD10,0.173367389,1,0.754586671,-0.406241477,-0.167210198,0.509060574,-0.825806294,0.777716587,0,0,0
ENSG00000151773,CCDC122,-0.231822097,0.338344664,0.937795904,-0.092654118,-0.037223942,1,-0.82565496,1,0,0,0
ENSG00000143353,LYPLAL1,-0.064804281,1,1.042011587,0.05937132,0.01067279,1,-0.825614945,0.148241873,0,0,0
ENSG00000149357,LAMTOR1,-0.101052493,0.015682832,0.596401854,-0.745643352,-0.085685699,0.004056544,-0.825602496,1,0,1,0
ENSG00000165449,SLC16A9,0.4509816,0.000502904,1.160684977,0.214976462,0.092175143,1,-0.82548965,1,1,0,0
ENSG00000111348,ARHGDIB,-0.062650891,1,0.709247538,-0.495638858,-0.153055066,0.167560201,-0.825450944,1,0,0,0
ENSG00000244617,ASPRV1,-0.025277252,1,0.667714914,-0.582695831,-0.141587066,0.066840874,-0.825215351,0.540841506,0,0,0
