,gene_symbol,DE,adj_pval_DE,SD_ratio,LFC,DV,adj_pval_DV,DS,adj_pval_DS,de_bs,dv_bs,ds_bs
ENSG00000165138,ANKS6,-0.051418047,1,0.581166334,-0.782976963,-0.163155762,0.001252573,-1.983185199,0,0,1,1
ENSG00000140931,CMTM3,0.190787823,0.261310209,0.839867748,-0.251765926,-0.081884413,1,-1.905078806,2.91E-192,0,0,1
ENSG00000079805,DNM2,0.012467538,1,0.575697753,-0.796616514,-0.163459278,0.003929225,-1.798748911,3.75E-51,0,1,1
ENSG00000170638,TRABD,-0.078778532,1,0.694776039,-0.525380096,-0.117144411,0.13533196,-1.791500621,1.04E-55,0,0,1
ENSG00000068724,TTC7A,-0.058383599,1,0.635443961,-0.654163193,-0.156759751,0.033218779,-1.775830236,2.57E-32,0,0,1
ENSG00000257337,AC068888.1,-0.307351592,0.035043846,0.569308226,-0.81271815,-0.305650185,0.004968882,-1.750938462,2.05E-21,1,1,1
ENSG00000061273,HDAC7,0.069341682,1,0.714058073,-0.485886683,-0.113188924,0.191160813,-1.745346411,1.46E-12,0,0,1
ENSG00000276334,AL133243.2,-0.106833226,1,0.822588715,-0.281756815,-0.071454968,1,-1.737220582,1.17E-11,0,0,1
ENSG00000100365,NCF4,0.196487846,0.911204487,0.780634197,-0.357281432,-0.149349667,1,-1.71811158,6.22E-29,0,0,1
ENSG00000099338,CATSPERG,-0.239486847,0.048874086,0.597138911,-0.743861513,-0.229591393,0.008460745,-1.711936327,1.49E-25,0,0,1
ENSG00000073350,LLGL2,0.022601169,1,0.643913075,-0.635062149,-0.224984981,0.064238921,-1.699063793,5.09E-10,0,0,1
ENSG00000102871,TRADD,-0.043907877,1,0.653679194,-0.613345316,-0.129283933,0.081472702,-1.690451616,4.96E-14,0,0,1
ENSG00000166987,MBD6,-0.004242419,1,0.728860813,-0.456284758,-0.104907031,0.609824288,-1.69037037,8.36E-10,0,0,1
ENSG00000051523,CYBA,0.079158065,1,0.720603342,-0.472722752,-0.174041931,0.255678905,-1.686747442,5.59E-16,0,0,1
ENSG00000128191,DGCR8,-0.068810801,0.772795197,0.702025628,-0.510404396,-0.071415317,0.157024285,-1.684273452,4.01E-12,0,0,1
ENSG00000189343,RPS2P46,0.011410343,1,0.826265726,-0.275322269,-0.07000808,1,-1.678221339,4.75E-21,0,0,1
ENSG00000164050,PLXNB1,0.17387154,0.274450119,0.775716649,-0.366398328,-0.105118611,1,-1.657964857,5.32E-10,0,0,1
ENSG00000137185,ZSCAN9,-0.063304838,1,0.604516414,-0.726146583,-0.131431823,0.009688743,-1.655226487,1.16E-18,0,0,1
ENSG00000142327,RNPEPL1,-0.009402646,1,0.619620547,-0.69054311,-0.178140761,0.012254963,-1.654151509,5.40E-08,0,0,1
ENSG00000265399,AP005329.2,0.092710766,1,0.887444068,-0.172271899,-0.061509679,1,-1.653779026,8.19E-24,0,0,1
ENSG00000176390,CRLF3,-0.051318349,1,0.71565633,-0.482661147,-0.065388472,0.209322609,-1.648811931,4.29E-25,0,0,1
ENSG00000188603,CLN3,0.037589281,1,0.6762467,-0.564378445,-0.097626677,0.08712913,-1.647517674,5.31E-10,0,0,1
ENSG00000255737,AGAP2-AS1,0.06786251,1,0.872930726,-0.196060927,-0.061761824,1,-1.646445864,1.25E-15,0,0,1
ENSG00000004975,DVL2,-0.027118334,1,0.722348412,-0.469233231,-0.07240951,0.288991654,-1.644021401,2.92E-08,0,0,1
ENSG00000134905,CARS2,-0.061930594,1,0.655425934,-0.609495335,-0.110094967,0.043773626,-1.640941106,2.35E-23,0,0,1
ENSG00000168476,REEP4,-0.033181526,1,0.74981841,-0.415386847,-0.108672689,0.521888856,-1.636143869,9.62E-14,0,0,1
ENSG00000270195,AC016773.1,-0.289038095,0.018851312,0.785307879,-0.348669722,-0.122774081,1,-1.63461677,1.28E-13,1,0,1
ENSG00000080839,RBL1,0.112782126,0.483051993,0.929388418,-0.105646429,-0.02218923,1,-1.622121235,6.40E-12,0,0,1
ENSG00000140398,NEIL1,-0.09053894,1,0.945325857,-0.081116378,-0.018194609,1,-1.616388207,3.26E-08,0,0,1
ENSG00000241404,EGFL8,-0.024978696,1,0.736650466,-0.440947859,-0.134695029,0.378662111,-1.616262,2.97E-05,0,0,1
ENSG00000042062,RIPOR3,0.406870452,0.015142363,1.052892652,0.074358353,0.036418679,1,-1.610982526,2.58E-12,1,0,1
ENSG00000234906,APOC2,-0.114971128,1,0.641645627,-0.640151361,-0.272513941,0.030882009,-1.606132583,3.95E-08,0,0,1
ENSG00000275413,AC002553.2,-0.158251435,0.668847696,0.794175276,-0.332470647,-0.103947352,1,-1.595416301,5.91E-22,0,0,1
ENSG00000088035,ALG6,-0.091648093,0.100343114,0.884059292,-0.177784963,-0.023985747,1,-1.593466255,3.63E-14,0,0,1
ENSG00000100139,MICALL1,-0.025637542,1,0.595120343,-0.748746661,-0.224972516,0.00993285,-1.589406098,8.20E-15,0,0,1
ENSG00000258555,SPECC1L-ADORA2A,0.117103225,1,0.857425084,-0.22191747,-0.083192737,1,-1.589131636,7.65E-18,0,0,1
ENSG00000185736,ADARB2,0.03775112,1,0.748904948,-0.417145474,-0.127468801,0.528519249,-1.588172863,5.73E-15,0,0,1
ENSG00000104774,MAN2B1,-0.055380313,1,0.636345337,-0.652118184,-0.155481664,0.023569941,-1.585939579,5.08E-19,0,0,1
ENSG00000223959,AFG3L1P,-0.180336511,0.048777721,0.779166531,-0.359996388,-0.086994175,0.907943269,-1.585375514,2.77E-12,0,0,1
ENSG00000005436,GCFC2,-0.027053487,1,0.712805514,-0.488419599,-0.054241004,0.273079222,-1.584715055,8.61E-10,0,0,1
ENSG00000182310,SPACA6,0.057879027,1,0.849249369,-0.235739854,-0.09475084,1,-1.584228075,4.85E-08,0,0,1
ENSG00000272870,AC097534.2,-0.193207761,0.015938105,0.62292111,-0.682878631,-0.147922509,0.050440281,-1.583949902,1.54E-05,0,0,1
ENSG00000100325,ASCC2,-0.044207935,1,0.675785031,-0.5653637,-0.102604305,0.091140819,-1.570383312,1.36E-12,0,0,1
ENSG00000175634,RPS6KB2,-0.180183722,0.012131057,0.592345869,-0.755488287,-0.153642437,0.006609487,-1.563926812,1.44E-08,0,1,1
ENSG00000180938,ZNF572,0.103666116,1,0.994214565,-0.008370856,-0.002277897,1,-1.561012006,3.45E-06,0,0,1
ENSG00000149489,ROM1,0.185460292,0.6145221,0.713184781,-0.487652178,-0.172764482,0.249109505,-1.549222894,1.52E-08,0,0,1
ENSG00000205930,C21orf62-AS1,-0.016656445,1,0.740703077,-0.433032764,-0.144335676,0.463139719,-1.546020414,5.94E-05,0,0,1
ENSG00000278768,BACE1-AS,-0.11105452,0.514454884,0.604491831,-0.726205253,-0.144820657,0.00738744,-1.545014698,1.46E-09,0,0,1
ENSG00000197093,GAL3ST4,-0.020289366,1,0.777917741,-0.362310487,-0.11132384,0.868038394,-1.53733621,5.45E-16,0,0,1
ENSG00000169919,GUSB,-0.159611053,0.072740707,0.607704487,-0.718558151,-0.155357326,0.010622265,-1.526203425,7.45E-08,0,0,1
ENSG00000100300,TSPO,0.114492995,1,0.679371806,-0.557726747,-0.166476467,0.11108709,-1.525907809,1.71E-08,0,0,1
ENSG00000226419,SLC16A1-AS1,-0.22929549,0.008460382,0.711036123,-0.49200524,-0.126906391,0.215350771,-1.522330798,3.82E-11,1,0,1
ENSG00000270189,ENSG00000270189,-0.100330771,0.827865779,0.705113536,-0.50407252,-0.101787892,0.226727271,-1.521931816,1.20E-05,0,0,1
ENSG00000135077,HAVCR2,-0.118024035,1,0.746542786,-0.421703148,-0.132289684,0.506380188,-1.520282045,2.26E-05,0,0,1
ENSG00000105227,PRX,0.42229861,7.15E-05,0.847540462,-0.23864585,-0.084885221,1,-1.517047311,0.013469655,1,0,1
ENSG00000272356,AL080317.3,-0.001100781,1,0.851175609,-0.232471285,-0.045157622,1,-1.513693612,5.49E-09,0,0,1
ENSG00000076944,STXBP2,0.014561733,1,0.70722149,-0.499765981,-0.171301354,0.235897391,-1.512884568,6.18E-08,0,0,1
ENSG00000091073,DTX2,-0.094498838,1,0.651255344,-0.61870479,-0.153128627,0.083931169,-1.510435448,0.005342339,0,0,1
ENSG00000078246,TULP3,0.086608192,1,0.818775163,-0.288460754,-0.070783674,1,-1.509120068,2.78E-09,0,0,1
ENSG00000278948,AL031587.5,-0.082208825,1,0.539571061,-0.890115121,-0.265976508,0.001085912,-1.505980399,6.80E-11,0,1,1
ENSG00000204577,LILRB3,0.23688242,1,0.759815348,-0.39627924,-0.219037412,0.68153192,-1.502656208,7.67E-06,0,0,1
ENSG00000128346,C22orf23,-0.07970039,1,0.628604768,-0.669774879,-0.172915398,0.018170581,-1.501408824,7.13E-10,0,0,1
ENSG00000102007,PLP2,0.287245969,0.037003394,0.898557535,-0.154317212,-0.057830704,1,-1.500492687,0.03030085,0,0,1
ENSG00000185291,IL3RA,0.236270814,0.226912382,0.834016117,-0.261852832,-0.100689949,1,-1.496504779,2.14E-08,0,0,1
ENSG00000272578,AP000347.1,-0.246946522,0.002896549,0.79032424,-0.339483438,-0.086289613,1,-1.495751557,7.73E-05,1,0,1
ENSG00000125826,RBCK1,-0.09550168,0.948912321,0.602723052,-0.73043285,-0.14480292,0.008372783,-1.490839979,3.89E-06,0,0,1
ENSG00000167766,ZNF83,-0.213213413,0.002974293,0.735643168,-0.442921955,-0.098439416,0.396963678,-1.490720571,0.000137448,1,0,1
ENSG00000110400,NECTIN1,-0.12384281,0.185472478,0.884603512,-0.176897124,-0.035192953,1,-1.486295432,1.05E-09,0,0,1
ENSG00000167380,ZNF226,-0.164624245,0.001520977,0.784608646,-0.349954861,-0.058370191,0.955376933,-1.485756593,2.00E-10,1,0,1
ENSG00000064687,ABCA7,0.023814719,1,1.052037048,0.07318551,0.020810705,1,-1.478283228,1.90E-05,0,0,1
ENSG00000145287,PLAC8,-0.01467866,1,0.892271456,-0.164445406,-0.118651381,1,-1.477642651,1.59E-05,0,0,1
ENSG00000205978,NYNRIN,0.265690342,0.006468521,0.709734722,-0.494648206,-0.14312639,0.19696527,-1.476605925,6.74E-05,1,0,1
ENSG00000146122,DAAM2,-0.139070393,1,0.570261445,-0.810304599,-0.299916956,0.004606775,-1.475700508,0.000368534,0,1,1
ENSG00000100023,PPIL2,-0.1085537,0.005417817,0.680715907,-0.554875271,-0.065128594,0.091076227,-1.475243835,4.06E-09,0,0,1
ENSG00000196586,MYO6,0.061038149,1,0.839190638,-0.252929512,-0.053236718,1,-1.473445574,7.14E-08,0,0,1
ENSG00000109610,SOD3,0.189396082,0.578995809,1.015656566,0.022412652,0.008162818,1,-1.469713063,1.52E-05,0,0,1
ENSG00000173821,RNF213,0.089491413,1,0.580424112,-0.784820641,-0.208002143,0.004968882,-1.468119415,6.56E-07,0,1,1
ENSG00000172922,RNASEH2C,0.036857085,1,0.851371192,-0.232139821,-0.042682169,1,-1.465670901,2.24E-05,0,0,1
ENSG00000142798,HSPG2,0.312721441,0.031156924,0.904044345,-0.145534553,-0.058015702,1,-1.464754886,0.00350169,0,0,1
ENSG00000140948,ZCCHC14,0.098184579,0.000433485,0.857103909,-0.222457979,-0.020629181,1,-1.464332706,8.77E-06,0,0,1
ENSG00000124357,NAGK,-0.057683048,0.558863089,0.622751816,-0.683270772,-0.071471997,0.023155075,-1.463552825,0.001530673,0,0,1
ENSG00000130517,PGPEP1,-0.013774889,1,0.647188654,-0.627741778,-0.153123044,0.047133981,-1.461285894,0.000338578,0,0,1
ENSG00000183579,ZNRF3,0.343466849,0.000119096,0.766930746,-0.382831788,-0.115579687,0.734838593,-1.459626638,1.49E-07,1,0,1
ENSG00000205129,C4orf47,0.016713016,1,0.758012198,-0.39970703,-0.143457352,0.626502099,-1.45926462,0.000173847,0,0,1
ENSG00000258610,AF111169.1,-0.139034631,0.588792477,0.853312626,-0.228853701,-0.061281996,1,-1.45743192,7.67E-09,0,0,1
ENSG00000273192,AL671710.1,-0.045898921,1,0.760477735,-0.395022086,-0.074661103,0.598113006,-1.45424652,0.000929182,0,0,1
ENSG00000015285,WAS,-0.087906393,1,0.726607736,-0.46075137,-0.15431271,0.340970851,-1.452654583,2.67E-06,0,0,1
ENSG00000123427,EEF1AKMT3,0.15150408,0.31824783,0.951705496,-0.071412892,-0.018712526,1,-1.451542035,0.009648839,0,0,1
ENSG00000047644,WWC3,0.077220638,1,0.744112104,-0.426408108,-0.094999791,0.413490116,-1.450002694,2.14E-06,0,0,1
ENSG00000147133,TAF1,-0.055037006,1,0.650635153,-0.620079324,-0.076426046,0.063450135,-1.448195579,0.017393778,0,0,1
ENSG00000176953,NFATC2IP,-0.107163341,0.004395626,0.623592271,-0.681325049,-0.075966713,0.012998934,-1.446705905,7.65E-12,0,0,1
ENSG00000131778,CHD1L,-0.133648584,0.03830047,0.671853793,-0.573780783,-0.097171679,0.095165976,-1.438782875,0.00042757,0,0,1
ENSG00000235568,NFAM1,0.044106023,1,0.692822531,-0.529442246,-0.205010358,0.137419783,-1.438265802,2.19E-06,0,0,1
ENSG00000138398,PPIG,-0.009641919,1,0.793891474,-0.332986293,-0.046129869,1,-1.437581188,1.94E-08,0,0,1
ENSG00000255857,PXN-AS1,-0.101233476,1,0.750731562,-0.413630957,-0.094686634,0.509060574,-1.437545904,2.22E-08,0,0,1
ENSG00000250802,ZBED3-AS1,-0.097174264,1,0.601866639,-0.732484244,-0.189463366,0.008404394,-1.437181861,4.02E-07,0,0,1
ENSG00000124570,SERPINB6,0.034678925,1,0.703411816,-0.507558525,-0.124698169,0.184165904,-1.435983364,4.67E-05,0,0,1
ENSG00000142694,EVA1B,0.169579169,0.553511081,0.837112797,-0.256506062,-0.083665789,1,-1.435348557,0.000218487,0,0,1
ENSG00000161958,FGF11,0.12271864,1,0.662987429,-0.59294658,-0.201987294,0.061079029,-1.434223382,7.73E-09,0,0,1
ENSG00000269242,AC010422.3,-0.113246465,1,0.560076689,-0.836303711,-0.266991151,0.007681167,-1.433646656,0.051001269,0,1,1
ENSG00000105221,AKT2,-0.079662708,1,0.700615606,-0.51330497,-0.100731959,0.211471628,-1.432682665,0.001758969,0,0,1
ENSG00000147789,ZNF7,-0.074386479,0.081569988,0.578226281,-0.790293914,-0.079292808,0.003641987,-1.432260593,0.001713085,0,1,1
ENSG00000224916,APOC4-APOC2,-0.098680615,1,0.711169729,-0.491734178,-0.20463365,0.178157603,-1.431558503,2.06E-05,0,0,1
ENSG00000159445,THEM4,-0.150049138,0.000472834,0.736712531,-0.440826312,-0.061855807,0.37337221,-1.431536578,8.11E-06,1,0,1
ENSG00000254413,CHKB-CPT1B,-0.080066177,1,0.8213957,-0.2838507,-0.075832087,1,-1.429923325,0.003292533,0,0,1
ENSG00000233393,AP000688.2,-0.012484534,1,0.840821356,-0.250128783,-0.090743886,1,-1.429014846,1.71E-07,0,0,1
ENSG00000106009,BRAT1,-0.005273079,1,0.734281552,-0.44559474,-0.071545452,0.369867377,-1.426217498,2.57E-05,0,0,1
ENSG00000274029,AC069209.1,-0.134316659,1,0.592753593,-0.754495592,-0.26374455,0.00539598,-1.424795664,4.67E-11,0,1,1
ENSG00000240731,AL139287.1,-0.18995036,0.101842678,0.852074515,-0.230948493,-0.063399021,1,-1.423423141,8.78E-05,0,0,1
ENSG00000261663,AC009065.8,-0.265626685,0.162727738,0.773844552,-0.369884304,-0.149072214,0.955570616,-1.423231481,1.47E-05,0,0,1
ENSG00000149499,EML3,-0.001637658,1,0.822731747,-0.281505981,-0.077888529,1,-1.423141271,1.26E-05,0,0,1
ENSG00000280370,ENSG00000280370,-0.146866116,0.433577164,0.712506901,-0.489024106,-0.128498132,0.243486357,-1.421726281,0.002123019,0,0,1
ENSG00000255690,TRIL,0.24757577,0.033687404,0.852405981,-0.230387379,-0.073658872,1,-1.421084399,0.000236444,0,0,1
ENSG00000132005,RFX1,0.03658109,1,0.881044432,-0.182713317,-0.029695861,1,-1.418721888,2.38E-06,0,0,1
ENSG00000128271,ADORA2A,0.174252564,1,0.783081055,-0.352766449,-0.14542352,0.98690007,-1.417311642,2.10E-05,0,0,1
ENSG00000085982,USP40,-0.054027475,1,0.761877608,-0.392368841,-0.087662223,0.631578255,-1.413810974,1.14E-06,0,0,1
ENSG00000143995,MEIS1,-0.254685078,0.01469764,0.56812296,-0.815724886,-0.236352463,0.002179073,-1.413533563,5.26E-05,1,1,1
ENSG00000139574,NPFF,-0.08226765,1,0.794341402,-0.332168895,-0.164580943,1,-1.412178263,0.002892128,0,0,1
ENSG00000155465,SLC7A7,0.079327832,1,0.737519948,-0.439246024,-0.173272717,0.357455224,-1.411718991,0.002594749,0,0,1
ENSG00000103472,RRN3P2,-0.187431108,0.265553035,0.791683002,-0.337005218,-0.105200256,0.991443364,-1.411524283,1.65E-07,0,0,1
ENSG00000163719,MTMR14,-0.071942732,0.134328199,0.621207626,-0.686852553,-0.070767404,0.022339759,-1.409624817,0.032944743,0,0,1
ENSG00000223705,NSUN5P1,-0.239873935,0.001583625,0.872751365,-0.196357387,-0.047709658,1,-1.407241695,0.002186484,1,0,1
ENSG00000099954,CECR2,-0.209325495,0.363551596,0.658171902,-0.603463658,-0.215769818,0.050458033,-1.40552097,1.13E-05,0,0,1
ENSG00000116691,MIIP,-0.089651978,1,0.560139133,-0.836142872,-0.166786147,0.004064151,-1.404947321,0.12797012,0,1,0
ENSG00000168887,C2orf68,0.023970284,1,0.719176665,-0.475581883,-0.118213484,0.280918147,-1.404941027,3.73E-05,0,0,1
ENSG00000258301,VASH1-AS1,-0.103484243,0.42425053,0.620768169,-0.687873512,-0.125354639,0.011718093,-1.40462109,8.00E-06,0,0,1
ENSG00000132635,PCED1A,-0.054092622,1,0.675968837,-0.564971357,-0.08797274,0.094791195,-1.402925192,0.02253116,0,0,1
ENSG00000204580,DDR1,0.272222621,0.002123695,0.837524633,-0.255796471,-0.072306227,1,-1.401603209,1.11E-05,1,0,1
ENSG00000174137,FAM53A,-0.183123209,0.469937893,0.531381055,-0.912181303,-0.287195262,0.000645949,-1.401545913,4.56E-06,0,1,1
ENSG00000253636,AC022893.1,-0.104520858,1,0.840406503,-0.250840769,-0.07142456,1,-1.401172181,5.46E-09,0,0,1
ENSG00000213638,ADAT3,-0.009257396,1,0.646938952,-0.628298515,-0.194298474,0.035207616,-1.398717727,0.000257811,0,0,1
ENSG00000095321,CRAT,0.079976605,0.11131784,0.830110434,-0.268624816,-0.031928118,1,-1.398434677,1.42E-05,0,0,1
ENSG00000112303,VNN2,0.876995815,8.61E-06,0.777549475,-0.362993619,-0.252517255,0.811053376,-1.396935371,0.000514791,1,0,1
ENSG00000123636,BAZ2B,0.013613674,1,0.747076076,-0.420672933,-0.099016496,0.526377267,-1.396200959,0.003182128,0,0,1
ENSG00000171163,ZNF692,-0.148084911,0.761906202,0.784083735,-0.350920361,-0.105171741,1,-1.395852341,1.92E-05,0,0,1
ENSG00000272884,AC113189.4,0.076899918,1,0.635359944,-0.654353956,-0.236442195,0.019054773,-1.392348212,2.07E-08,0,0,1
ENSG00000134759,ELP2,-0.109967178,8.71E-07,0.672366404,-0.572680455,-0.0442762,0.070238327,-1.391646584,1.43E-05,1,0,1
ENSG00000196812,ZSCAN16,-0.148212031,0.259061248,0.595162565,-0.748644309,-0.176350811,0.005762636,-1.391335494,2.01E-08,0,1,1
ENSG00000234690,AC106869.1,0.021228441,1,0.727260186,-0.459456497,-0.203403704,0.320133413,-1.391175526,0.007837576,0,0,1
ENSG00000132570,PCBD2,-0.015699014,1,1.284458017,0.361159736,0.057374159,0.990203943,-1.388249681,7.99E-05,0,0,1
ENSG00000262096,PCDHB19P,0.0719979,1,1.047939093,0.067554869,0.018271468,1,-1.387208774,0.00250251,0,0,1
ENSG00000011600,TYROBP,0.060917311,1,0.709940527,-0.494229923,-0.183898113,0.764911806,-1.387003959,0.056330094,0,0,1
ENSG00000119688,ABCD4,-0.025493426,1,0.678822542,-0.558893621,-0.111097405,0.090808974,-1.386851482,0.003246049,0,0,1
ENSG00000183255,PTTG1IP,0.353481047,9.68E-07,1.11886482,0.162035742,0.042599691,1,-1.386294406,0.000122565,1,0,1
ENSG00000276148,AC084824.5,-0.15107999,1,0.622948246,-0.682815785,-0.218202395,0.016990437,-1.386272333,0.000149903,0,0,1
ENSG00000170075,GPR37L1,0.078122512,1,0.981986577,-0.02622479,-0.007057136,1,-1.385938846,0.006524904,0,0,1
ENSG00000262410,AC024361.1,-0.223835123,0.000360686,0.732390038,-0.449315927,-0.092119771,0.361735085,-1.385609075,0.001108272,1,0,1
ENSG00000116017,ARID3A,-0.03292474,1,0.690396231,-0.534503507,-0.094329081,0.100187409,-1.384956414,2.93E-07,0,0,1
ENSG00000245750,DRAIC,-0.243421076,0.000371845,1.160788666,0.215105338,0.049444044,1,-1.383532776,0.008096379,1,0,1
ENSG00000269131,ENSG00000269131,-0.101384688,1,0.739738084,-0.434913542,-0.097879256,0.378053678,-1.382649144,1.27E-06,0,0,1
ENSG00000089820,ARHGAP4,-0.127255584,0.31905772,0.648387624,-0.62507154,-0.135355231,0.026068233,-1.382236318,0.015531367,0,0,1
ENSG00000132275,RRP8,-0.061912276,1,0.736822823,-0.440610345,-0.060151226,0.362561577,-1.381952015,0.000260459,0,0,1
ENSG00000231346,LINC01160,-0.105731375,0.987661292,0.887427276,-0.172299198,-0.039712625,1,-1.380611153,8.11E-05,0,0,1
ENSG00000278616,BEND3P3,-0.032154551,1,0.932836319,-0.100304135,-0.025617985,1,-1.378880526,1.44E-06,0,0,1
ENSG00000070388,FGF22,-0.187201299,0.050453901,0.80636224,-0.310500013,-0.074622886,1,-1.377996486,0.621931343,0,0,0
ENSG00000104365,IKBKB,0.069629567,1,0.8573682,-0.222013187,-0.05061382,1,-1.376964055,0.001551615,0,0,1
ENSG00000130827,PLXNA3,-0.048186928,1,0.671214403,-0.575154422,-0.132532399,0.072225326,-1.375588727,0.000422038,0,0,1
ENSG00000269973,AC010969.2,-0.01066003,1,0.700443443,-0.51365953,-0.098655089,0.145251073,-1.373909642,9.64E-07,0,0,1
ENSG00000153574,RPIA,-0.071022505,0.623287477,0.737545756,-0.439195541,-0.059905113,0.417288665,-1.372643755,7.78E-07,0,0,1
ENSG00000130309,COLGALT1,0.11442444,0.421529129,0.94584846,-0.080319035,-0.016820312,1,-1.371988188,0.006959491,0,0,1
ENSG00000182685,BRICD5,-0.125308711,0.799255812,0.896995578,-0.156827222,-0.039739986,1,-1.371920731,0.114265144,0,0,0
ENSG00000128394,APOBEC3F,0.136616896,1,1.027056162,0.038515074,0.014384117,1,-1.371404626,0.007395991,0,0,1
ENSG00000105397,TYK2,0.02721168,1,0.854213269,-0.227331786,-0.043550077,1,-1.371267341,0.73160245,0,0,0
ENSG00000107021,TBC1D13,-0.094456303,0.012872978,0.710107023,-0.49389162,-0.054233712,0.201008614,-1.370962874,2.43E-06,0,0,1
ENSG00000269928,ENSG00000269928,-0.087485765,1,0.686056485,-0.543600733,-0.15747399,0.114399925,-1.370663343,3.14E-05,0,0,1
ENSG00000182175,RGMA,0.287752417,4.73E-05,0.774360168,-0.36892335,-0.087800942,0.940611144,-1.370590037,0.009004586,1,0,1
ENSG00000183615,FAM167B,0.721399081,6.70E-06,0.997879178,-0.003062948,-0.001744351,1,-1.370438695,5.41E-05,1,0,1
ENSG00000153896,ZNF599,0.034071042,1,0.756843016,-0.401934007,-0.087696839,0.859258627,-1.369760239,1,0,0,0
ENSG00000099337,KCNK6,-0.104691523,1,0.717522335,-0.478904354,-0.118928882,0.262857391,-1.368425188,0.000808669,0,0,1
ENSG00000260426,AC008060.4,-0.324348024,0.607476474,0.736291436,-0.441651173,-0.271687493,0.404073303,-1.367376537,0.002409682,0,0,1
ENSG00000011132,APBA3,-0.055514646,1,0.695954031,-0.522936079,-0.117715215,0.141395913,-1.367313101,0.006715882,0,0,1
ENSG00000213859,KCTD11,0.201808172,0.032019441,0.909512216,-0.13683508,-0.035855862,1,-1.366371702,3.05E-05,0,0,1
ENSG00000205683,DPF3,0.012289988,1,0.733531809,-0.447068566,-0.096213911,0.340643667,-1.365492108,4.07E-05,0,0,1
ENSG00000150776,NKAPD1,-0.043163598,1,0.829476547,-0.269726905,-0.026066045,1,-1.365178666,0.000876033,0,0,1
ENSG00000278917,AC006213.6,-0.178717685,0.000220134,0.971440488,-0.041802479,-0.006896488,1,-1.365111131,4.88E-07,1,0,1
ENSG00000188315,C3orf62,-0.086338039,0.267972611,0.62652426,-0.674557721,-0.093762745,0.018460414,-1.362636531,0.000492862,0,0,1
ENSG00000131042,LILRB2,-0.038488728,1,0.82210421,-0.282606813,-0.136676136,1,-1.361308635,0.000485476,0,0,1
ENSG00000087087,SRRT,0.006822571,1,0.813393828,-0.297974051,-0.049946742,1,-1.361156848,0.006566529,0,0,1
ENSG00000101342,TLDC2,0.033060297,1,0.747200913,-0.420431878,-0.118273726,0.490550874,-1.360820708,0.00153934,0,0,1
ENSG00000254690,AC233992.1,-0.044018831,1,0.623106859,-0.682448496,-0.253292601,0.018648353,-1.359840712,0.000638966,0,0,1
ENSG00000203950,RTL8A,-0.105110115,0.119591441,0.482745026,-1.050666702,-0.14505011,0.00028586,-1.359398578,0.24404287,0,1,0
ENSG00000112200,ZNF451,-0.041430056,1,0.651213499,-0.61879749,-0.079425716,0.037500437,-1.358512859,0.045306613,0,0,1
ENSG00000042493,CAPG,0.15648184,0.827865779,0.884125386,-0.177677109,-0.058144476,1,-1.355996242,0.008776993,0,0,1
ENSG00000220785,MTMR9LP,-0.063555317,1,0.865081154,-0.209092616,-0.060594512,1,-1.354444217,0.027309283,0,0,1
ENSG00000148019,CEP78,-0.02808828,1,0.925525225,-0.111655784,-0.016969174,1,-1.354306601,6.21E-06,0,0,1
ENSG00000182173,TSEN54,-0.163886632,0.091626943,0.610007449,-0.713101234,-0.166048856,0.005099318,-1.354226133,0.111833925,0,1,0
ENSG00000109066,TMEM104,-0.025423736,1,0.658360922,-0.603049389,-0.117298087,0.036909559,-1.354162825,0.000574121,0,0,1
ENSG00000221978,CCNL2,-0.16349716,0.005813139,0.694060358,-0.526866964,-0.093993698,0.138361047,-1.353446857,0.027431695,0,0,1
ENSG00000183963,SMTN,0.362321251,0.01505049,1.162527884,0.217265321,0.095008861,1,-1.349934282,0.024865879,1,0,1
ENSG00000149262,INTS4,-0.038261422,1,0.710591226,-0.49290822,-0.063697061,0.196687759,-1.348993466,0.001005099,0,0,1
ENSG00000123066,MED13L,0.166731201,1.15E-05,0.635263534,-0.654572889,-0.083732259,0.017558843,-1.348187282,2.14E-08,1,0,1
ENSG00000271653,AC097359.3,-0.053192422,1,0.952529968,-0.070163612,-0.040900271,1,-1.347619613,0.000271777,0,0,1
ENSG00000152359,POC5,-0.133776444,0.143716018,0.694752988,-0.525427961,-0.104784643,0.133513146,-1.344863949,0.00015158,0,0,1
ENSG00000166317,SYNPO2L,-0.151125775,1,1.033148423,0.047047528,0.016518162,1,-1.343842115,3.38E-07,0,0,1
ENSG00000272143,FGF14-AS2,-0.082193568,1,0.854660918,-0.226575943,-0.084349154,1,-1.342505465,0.010919354,0,0,1
ENSG00000122678,POLM,-0.054075253,1,0.756696075,-0.402214133,-0.081538452,0.458675001,-1.341994646,0.261809754,0,0,0
ENSG00000135722,FBXL8,-0.198644525,0.016487252,0.670686595,-0.576289328,-0.135655261,0.063623914,-1.339689766,0.003231639,0,0,1
ENSG00000135736,CCDC102A,0.472064275,6.28E-05,1.07892647,0.109596546,0.044748621,1,-1.339043727,0.001174982,1,0,1
ENSG00000279822,AC016397.2,-0.081642359,1,1.039267066,0.055566439,0.020851787,1,-1.338439628,1.29E-05,0,0,1
