,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.0359,0.0376,0.0419,0.016,0.0415,0.0718,0.0267,0.0408,0.0365,0.0372,0.0361,0.0357,0.0207,0.0321,0.0316,0.0316,0.0389,0.0333,0.0471,0.0216,0.0464,0.0216,0.041,0.027,0.0556,0.0603,0.0466,0.0464,0.0267,0.0474
SIEVE_pseudo_0.1,0.0207,0.0162,0.0161,0,0.0263,0.0317,0.0159,0.0053,0.0107,0.0163,0.0259,0.0104,0.0156,0.0109,0.016,0.0213,0.0226,0.0056,0.0162,0.0108,0.0106,0.016,0.0209,0.0055,0.0207,0.0157,0.0158,0.0158,0.0211,0.0162
SIEVE_pseudo_0.5,0.0206,0.0108,0.0108,0,0.016,0.026,0.0053,0.0053,0.0053,0.0054,0.0207,0.0104,0.0155,0.0108,0.0053,0.016,0.0272,0.0055,0.0107,0.0106,0.0105,0.0106,0.0157,0.0054,0.0154,0.0105,0.0104,0.0157,0.0106,0.0107
