,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.06,0.105,0.085,0.075,0.075,0.095,0.09,0.06,0.075,0.095,0.065,0.055,0.055,0.095,0.08,0.08,0.135,0.13,0.09,0.095,0.075,0.095,0.065,0.1,0.065,0.065,0.08,0.075,0.09,0.095
SIEVE_pseudo_0.1,0.055,0.09,0.085,0.065,0.075,0.085,0.07,0.055,0.075,0.095,0.06,0.045,0.055,0.09,0.075,0.08,0.135,0.12,0.09,0.085,0.065,0.08,0.065,0.09,0.055,0.06,0.065,0.065,0.07,0.09
SIEVE_pseudo_0.5,0.05,0.08,0.08,0.04,0.08,0.065,0.06,0.055,0.07,0.075,0.055,0.045,0.05,0.08,0.06,0.075,0.105,0.095,0.075,0.07,0.06,0.065,0.06,0.075,0.04,0.055,0.045,0.06,0.065,0.075
