,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.255,0.205,0.225,0.245,0.24,0.215,0.2,0.19,0.215,0.195,0.24,0.25,0.24,0.16,0.23,0.23,0.23,0.21,0.22,0.24,0.26,0.26,0.275,0.265,0.25,0.235,0.195,0.23,0.22,0.205
SIEVE_pseudo_0.1,0.255,0.2,0.225,0.235,0.24,0.21,0.185,0.19,0.215,0.195,0.215,0.245,0.24,0.15,0.24,0.225,0.215,0.21,0.22,0.24,0.255,0.26,0.27,0.28,0.25,0.25,0.195,0.235,0.22,0.225
SIEVE_pseudo_0.5,0.26,0.195,0.225,0.225,0.24,0.185,0.185,0.19,0.21,0.19,0.215,0.215,0.23,0.15,0.24,0.22,0.21,0.205,0.21,0.235,0.25,0.25,0.265,0.275,0.265,0.23,0.195,0.24,0.22,0.215
