,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.024,0.0341,0.0253,0.0734,0.0351,0.0393,0.0488,0.0663,0.0287,0.0458,0.0237,0.0301,0.0364,0.0349,0.0565,0.0307,0.0414,0.0671,0.0366,0.0345,0.0203,0.0194,0.0301,0.0299,0.0497,0.0185,0.0258,0.0241,0.0318,0.0183
SIEVE_pseudo_0.1,0.0184,0.0173,0.0311,0.0355,0.0298,0.0172,0.019,0.0552,0.0291,0.0331,0.006,0.0123,0.0189,0.0178,0.0291,0.0248,0.0126,0.0321,0.0063,0.0116,0.0136,0.0194,0.0186,0.0299,0.0318,0.0123,0.0065,0.012,0.0194,0.0062
SIEVE_pseudo_0.5,0.0061,0.0116,0.0189,0.024,0.0242,0.0116,0.0129,0.0314,0.0179,0.0203,0.006,0.0244,0.0127,0.0119,0.0179,0.0126,0.0126,0.026,0.0061,0.0058,0.0069,0.0065,0.0124,0.0182,0.0195,0.0123,0.0128,0.0061,0.0131,0.0062
