,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.037,0.055,0.1117,0.0711,0.065,0.0796,0.0909,0.0628,0.0448,0.04,0.0547,0.07,0.0556,0.0466,0.0547,0.0553,0.0309,0.045,0.0773,0.067,0.0309,0.0653,0.0909,0.0609,0.0606,0.0446,0.041,0.0833,0.0594,0.0505
SIEVE_pseudo_0.1,0.0054,0.0156,0.0309,0.0368,0.0053,0.0159,0.0204,0.0302,0.0103,0.0253,0.0205,0.0156,0.0255,0.0054,0.0306,0.0207,0.0053,0.0104,0.0448,0.0152,0.0156,0.0207,0.0205,0.0106,0.0208,0.0153,0,0.0258,0.0103,0.0106
SIEVE_pseudo_0.5,0.0054,0.0052,0.0206,0.0263,0.0053,0,0.0103,0.0201,0.0051,0.0202,0.0152,0.0053,0.0205,0.0054,0.0254,0.0103,0.0053,0,0.0352,0.0152,0.0156,0.0104,0.0104,0.0053,0.0208,0.0103,0,0.0155,0.0051,0.0106
