,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.1064,0.0579,0.0309,0.0718,0.0847,0.0695,0.0777,0.0737,0.0628,0.0474,0.0423,0.0564,0.1,0.0851,0.0674,0.0426,0.0469,0.0471,0.0521,0.0741,0.0582,0.0677,0.0508,0.0984,0.1053,0.0567,0.0619,0.0711,0.0521,0.0758
SIEVE_pseudo_0.1,0.0904,0.0421,0.0309,0.0564,0.0741,0.0588,0.0674,0.0789,0.0524,0.0526,0.0265,0.0615,0.1,0.0851,0.0622,0.0426,0.0469,0.0314,0.0469,0.0582,0.0582,0.0573,0.0457,0.0725,0.1105,0.0515,0.0515,0.0609,0.0521,0.0606
SIEVE_pseudo_0.5,0.0798,0.0421,0.0361,0.0564,0.0741,0.0535,0.0622,0.0737,0.0471,0.0421,0.0265,0.0667,0.0842,0.0851,0.0466,0.0372,0.0521,0.0314,0.0521,0.0582,0.0529,0.0625,0.0355,0.0674,0.1,0.0464,0.0515,0.0558,0.0469,0.0505
