,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.1554,0.1237,0.2062,0.1368,0.1361,0.1364,0.1789,0.1969,0.1244,0.2316,0.1406,0.1615,0.1632,0.1487,0.1302,0.1596,0.1735,0.2073,0.1813,0.125,0.2526,0.1958,0.1744,0.1606,0.1905,0.1804,0.2176,0.1735,0.2042,0.1436
SIEVE_pseudo_0.1,0.171,0.1237,0.1959,0.1421,0.1466,0.1364,0.1842,0.2021,0.1347,0.2316,0.1406,0.1667,0.1789,0.1487,0.1302,0.1649,0.199,0.2176,0.1762,0.1146,0.2526,0.1958,0.1897,0.1606,0.1958,0.1701,0.2124,0.1582,0.2042,0.1436
SIEVE_pseudo_0.5,0.1606,0.1237,0.1959,0.1421,0.1571,0.1414,0.1947,0.2021,0.1451,0.2368,0.1354,0.1667,0.1789,0.1487,0.1406,0.1649,0.199,0.2228,0.1606,0.1094,0.2577,0.1958,0.1846,0.1606,0.2011,0.1701,0.2021,0.1735,0.2094,0.1489
