,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE_pseudo_0.01,0.0769,0.0272,0.0408,0.0372,0.0546,0.0492,0.043,0.0737,0.0579,0.0995,0.0622,0.0316,0.0284,0.0601,0.0476,0.0863,0.0518,0.0215,0.0667,0.0591,0.0378,0.0376,0.0697,0.0492,0.0286,0.0518,0.057,0.0266,0.0619,0.0214
SIEVE_pseudo_0.1,0.0284,0.0162,0.0105,0.0213,0.0169,0.0112,0.0055,0.0278,0.0055,0.0426,0.0316,0.0054,0.0116,0.0171,0.0055,0.0576,0.0317,0.0107,0.0317,0.0273,0.0166,0.0109,0.0259,0.0056,0,0.016,0.0054,0,0.0319,0.0053
SIEVE_pseudo_0.5,0.017,0.0055,0.0106,0.0108,0.0169,0.0056,0,0.0168,0,0.0162,0.016,0,0.0114,0.0115,0,0.0372,0.0215,0.0054,0.0109,0.0111,0.011,0.011,0.0155,0.0055,0,0.0107,0,0,0.0317,0.0053
