,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,35.56,37.7,35.81,35.45,35.34,35.69,35.88,35.6,40.32,35.49,37.39,35.96,35.89,35.24,37.24,35.97,36.72,37.96,36,35.67,36.78,36.94,35.86,35.45,35.97,35.51,37.58,35.53,36.04,35.97
edgeR,1.62,1.63,1.62,1.62,1.62,1.66,1.62,1.63,1.62,1.63,1.63,1.62,1.68,1.64,1.66,1.62,1.65,1.63,1.7,1.64,1.68,1.64,1.64,1.65,1.64,1.64,1.64,1.64,1.64,1.64
DESeq2,5.05,5.07,5.02,5.04,5.07,5.03,5.06,5.06,5.06,5.06,5.06,5.05,5.02,5.04,5.02,5.07,5.07,5.05,5.02,5.05,5.02,5.47,5.05,5.47,5.05,5.04,5.05,5.06,5.07,5.05
voom,1.89,1.89,1.87,1.9,1.87,1.9,1.88,1.88,1.87,1.88,1.88,1.88,1.91,1.88,1.9,1.88,1.91,1.89,1.9,1.89,1.9,1.89,1.89,1.89,1.9,1.9,1.89,1.91,1.91,1.92
tweeDEseq,617.79,588.78,606.91,574.11,571.28,631.31,597.97,571.54,602.61,572.23,597,614.07,586.85,588.54,618.59,596.3,614.74,579.46,596,593.03,591.1,585.37,594.04,589.55,585.08,586.5,573.8,614.92,613.01,581.69
ALDEx2,46.38,45.17,45.58,44.81,44.8,44.95,45.26,45.46,45.49,44.99,44.98,45.61,44.85,44.75,45.03,45.88,44.9,44.85,44.82,45.11,44.9,45.36,44.94,44.72,45.05,45.29,44.96,45.04,44.92,45.2
NOISeq,11.5,11.95,11.53,11.51,11.54,11.51,11.54,11.57,11.57,11.57,11.98,11.55,11.55,11.51,11.96,11.56,11.52,11.56,11.54,11.56,11.54,11.54,11.54,11.53,11.58,11.56,11.58,11.55,11.55,11.51
DSS,4.76,4.68,4.77,4.74,4.69,4.74,4.73,4.7,4.72,4.69,4.72,4.76,4.7,4.68,4.73,4.73,4.7,4.7,4.69,4.74,4.68,4.72,4.74,4.74,4.65,4.67,4.71,4.73,4.69,4.75
dearseq,1.01,0.99,0.95,0.95,1.01,0.97,1.02,0.96,0.95,0.98,0.99,0.98,0.97,1,0.99,0.95,0.95,0.96,0.99,0.96,0.99,0.99,0.95,0.97,1.03,1.01,0.95,0.99,0.99,0.96
Wilcoxon,2.7,2.78,2.69,2.7,2.68,2.74,2.69,2.77,2.73,2.74,2.75,2.69,2.69,2.68,2.77,2.76,2.72,2.73,2.69,2.76,2.68,2.69,2.76,2.76,2.68,2.69,2.73,2.69,2.71,2.75
