,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.0054,0.0052,0.0206,0.0263,0.0053,0,0.0103,0.0201,0.0051,0.0202,0.0152,0.0053,0.0205,0.0054,0.0254,0.0103,0.0053,0,0.0352,0.0152,0.0156,0.0104,0.0104,0.0053,0.0208,0.0103,0,0.0155,0.0051,0.0106
edgeR,0.0363,0.0545,0.04,0.0505,0.0404,0.0457,0.0628,0.0664,0.0347,0.0347,0.0441,0.0634,0.0588,0.0558,0.0625,0.0352,0.0404,0.0253,0.0721,0.0714,0.045,0.0402,0.0585,0.0154,0.0308,0.0631,0.0255,0.035,0.0398,0.0594
DESeq2,0.0368,0.0683,0.0545,0.0505,0.0459,0.0366,0.0498,0.0711,0.0488,0.0448,0.0398,0.0588,0.0644,0.0606,0.0718,0.0354,0.0455,0.0306,0.0631,0.0802,0.0547,0.0505,0.0542,0.0104,0.0308,0.0676,0.0457,0.04,0.0542,0.0739
voom,0.0314,0.045,0.0545,0.0462,0.0306,0.0053,0.035,0.0667,0.0348,0.0537,0.0439,0.0498,0.0542,0.0265,0.0539,0.0493,0.0406,0.0542,0.0676,0.0625,0.0547,0.0255,0.0448,0.0308,0.0553,0.0398,0.0255,0.0448,0.0348,0.0547
tweeDEseq,0.0266,0.0545,0.0402,0.0457,0.0359,0.0363,0.0354,0.0711,0.0396,0.035,0.035,0.0448,0.0597,0.051,0.0631,0.0255,0.0404,0.0256,0.0585,0.0714,0.0355,0.041,0.0585,0.0104,0.0308,0.0721,0.0259,0.0448,0.0495,0.0597
ALDEx2,0.0213,0.0207,0.0505,0.0412,0.0311,0.0053,0.035,0.0531,0.0253,0.0443,0.0443,0.0406,0.0637,0.0316,0.04,0.0354,0.0357,0.0303,0.068,0.058,0.0309,0.0306,0.0498,0.0311,0.0408,0.0493,0.0205,0.0354,0.0253,0.0462
NOISeq,0.0059,0,0.0171,0,0.006,0,0,0.0056,0,0,0,0.0056,0.0058,0.0112,0,0,0,0.0057,0.0057,0,0,0,0,0,0,0,0,0.0057,0,0
DSS,0.0366,0.0637,0.0588,0.0408,0.0455,0.0513,0.0542,0.0755,0.0441,0.0394,0.0398,0.0634,0.064,0.0558,0.0714,0.0352,0.0452,0.0205,0.0585,0.0802,0.0594,0.0547,0.0631,0.0103,0.0357,0.081,0.0306,0.0398,0.0542,0.078
dearseq,0.0265,0.0637,0.04,0.0457,0.0406,0.0312,0.0354,0.0711,0.0488,0.0302,0.0398,0.0448,0.05,0.051,0.0762,0.0255,0.0452,0.0355,0.0676,0.0802,0.0498,0.0459,0.0542,0.0104,0.0503,0.081,0.0359,0.045,0.0542,0.0644
Wilcoxon,0.0263,0.0545,0.04,0.0359,0.0256,0.0106,0.0537,0.0622,0.0299,0.03,0.0483,0.0402,0.0542,0.0212,0.0443,0.0398,0.0206,0.0542,0.0676,0.0625,0.0355,0.0305,0.0446,0.0352,0.0503,0.0631,0.0354,0.0446,0.0348,0.0594
