,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.0061,0.0116,0.0189,0.024,0.0242,0.0116,0.0129,0.0314,0.0179,0.0203,0.006,0.0244,0.0127,0.0119,0.0179,0.0126,0.0126,0.026,0.0061,0.0058,0.0069,0.0065,0.0124,0.0182,0.0195,0.0123,0.0128,0.0061,0.0131,0.0062
edgeR,0.0165,0.0372,0.0221,0.0275,0.0486,0.0207,0.0272,0.033,0.0326,0.0437,0.0167,0.0331,0.0169,0.0435,0.0217,0.0281,0.0376,0.0292,0.043,0.0262,0.012,0.0351,0.022,0.0316,0.006,0.0217,0.0225,0.0415,0.0279,0.0114
DESeq2,0.0579,0.0479,0.0492,0.0829,0.0688,0.0728,0.0677,0.0585,0.0486,0.0979,0.0582,0.0588,0.0385,0.0905,0.0674,0.0598,0.0619,0.0503,0.0905,0.0653,0.0511,0.067,0.0541,0.0466,0.0656,0.0579,0.0632,0.0788,0.0538,0.0378
voom,0.0432,0.0428,0.0552,0.0492,0.0435,0.0518,0.0562,0.0645,0.044,0.052,0.0269,0.0598,0.0234,0.0328,0.0535,0.0615,0.0495,0.0357,0.0435,0.0588,0.0355,0.0585,0.0343,0.0481,0.0119,0.0222,0.0353,0.0481,0.0629,0.0233
tweeDEseq,0.0376,0.037,0.0226,0.0444,0.0444,0.0597,0.0595,0.0492,0.0437,0.0718,0.0385,0.0645,0.0345,0.0789,0.0632,0.0452,0.043,0.0578,0.0635,0.0469,0.0465,0.0621,0.033,0.0419,0.0559,0.0435,0.0663,0.0471,0.0511,0.0175
ALDEx2,0.0292,0.0226,0.0359,0.0409,0.0462,0.0455,0.0303,0.0529,0.0349,0.0494,0.0231,0.0419,0.0368,0.0175,0.0349,0.0482,0.0237,0.0318,0.0405,0.0287,0.0331,0.0131,0.0242,0.0468,0.061,0.0238,0.0373,0.0061,0.0255,0.0063
NOISeq,0.0103,0.018,0.0297,0,0.0109,0.0093,0,0.0112,0.0102,0.0306,0.0385,0.0275,0,0.0169,0.0185,0,0.0093,0,0,0.0159,0,0.0206,0.0098,0.0094,0,0.036,0,0.0288,0,0.0116
DSS,0.0321,0.0469,0.0432,0.067,0.0582,0.0443,0.0576,0.0541,0.043,0.0737,0.0374,0.0576,0.0435,0.095,0.0707,0.0489,0.0521,0.0447,0.0808,0.0408,0.0345,0.0703,0.0378,0.0415,0.0444,0.0476,0.0435,0.065,0.0573,0.0223
dearseq,0.0476,0.0419,0.0444,0.0863,0.0681,0.0683,0.0688,0.0595,0.043,0.0895,0.0573,0.0638,0.0339,0.0821,0.0674,0.0546,0.0423,0.0568,0.0729,0.0612,0.0571,0.0769,0.0635,0.051,0.0556,0.0486,0.071,0.0657,0.0497,0.0226
Wilcoxon,0.0273,0.0526,0.0492,0.0601,0.0546,0.041,0.0341,0.0585,0.0484,0.0663,0.0417,0.0652,0.0172,0.0481,0.0674,0.0503,0.0479,0.0471,0.0437,0.0376,0.0632,0.0357,0.0437,0.0479,0.0552,0.0326,0.0714,0.038,0.0511,0.0231
