,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.0798,0.0421,0.0361,0.0564,0.0741,0.0535,0.0622,0.0737,0.0471,0.0421,0.0265,0.0667,0.0842,0.0851,0.0466,0.0372,0.0521,0.0314,0.0521,0.0582,0.0529,0.0625,0.0355,0.0674,0.1,0.0464,0.0515,0.0558,0.0469,0.0505
edgeR,0.0213,0.0263,0,0.0154,0.0423,0.016,0.0311,0.0158,0.0262,0.0158,0.0053,0.0205,0.0316,0.0213,0.0052,0.0213,0.0104,0.0314,0.026,0.0212,0.0265,0.0156,0.0203,0.0207,0.0263,0.0258,0.0206,0.0051,0.0052,0.0253
DESeq2,0.0266,0.0316,0.0052,0.0256,0.037,0.0107,0.0259,0.0158,0.0366,0.0211,0.0053,0.0205,0.0316,0.0266,0.0259,0.0213,0.0208,0.0314,0.026,0.0265,0.037,0.0156,0.0355,0.0311,0.0316,0.0258,0.0103,0.0051,0.0052,0.0253
voom,0.0266,0.0053,0.0103,0.0256,0.0423,0.016,0.0155,0.0263,0.0314,0.0211,0.0265,0.0308,0.0474,0.0372,0.0207,0.016,0.0156,0.0052,0.0312,0.0265,0.0317,0.026,0.0203,0.0363,0.0579,0.0155,0.0361,0.0305,0.0312,0.0354
tweeDEseq,0.0266,0.0316,0.0103,0.0205,0.037,0.0107,0.0311,0.0158,0.0209,0.0105,0.0212,0.0205,0.0368,0.0213,0.0207,0.0213,0.0156,0.0314,0.0208,0.0317,0.037,0.0208,0.0203,0.0207,0.0421,0.0309,0.0206,0.0051,0,0.0202
ALDEx2,0.0745,0.0474,0.0155,0.0615,0.0688,0.0535,0.0363,0.0684,0.0366,0.0474,0.037,0.0513,0.0947,0.0798,0.0518,0.0319,0.0521,0.0209,0.0417,0.0582,0.0529,0.0521,0.0457,0.0725,0.1053,0.0361,0.0515,0.0355,0.0417,0.0707
NOISeq,0.3085,0.2526,0.2165,0.2205,0.3122,0.2353,0.2746,0.2684,0.2932,0.2474,0.2116,0.2205,0.3316,0.3138,0.2228,0.2766,0.2708,0.2042,0.25,0.2487,0.2275,0.2448,0.2995,0.2435,0.2737,0.2165,0.268,0.264,0.2344,0.2677
DSS,0.016,0.0263,0,0.0154,0.0265,0.0107,0.0311,0.0158,0.0209,0.0158,0.0053,0.0154,0.0211,0.0106,0.0155,0.0106,0.0104,0.0262,0.0208,0.0212,0.0265,0.0156,0.0203,0.0207,0.0316,0.0206,0.0103,0.0051,0.0052,0.0152
dearseq,0.016,0.0316,0,0.0205,0.0423,0.0053,0.0311,0.0158,0.0209,0.0158,0.0106,0.0205,0.0316,0.0266,0.0207,0.0106,0.0104,0.0366,0.026,0.0265,0.0317,0.0156,0.0203,0.0207,0.0316,0.0361,0.0155,0.0051,0,0.0202
Wilcoxon,0.0106,0.0053,0.0103,0.0308,0.0265,0.0214,0.0155,0,0.0262,0.0211,0.0212,0.0103,0.0368,0.0319,0.0052,0.0106,0.0156,0.0105,0.026,0.0159,0.0212,0.0208,0.0203,0.0155,0.0316,0.0206,0.0206,0.0051,0.0156,0.0152
