,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.1606,0.1237,0.1959,0.1421,0.1571,0.1414,0.1947,0.2021,0.1451,0.2368,0.1354,0.1667,0.1789,0.1487,0.1406,0.1649,0.199,0.2228,0.1606,0.1094,0.2577,0.1958,0.1846,0.1606,0.2011,0.1701,0.2021,0.1735,0.2094,0.1489
edgeR,0.0725,0.067,0.0876,0.0684,0.0785,0.0455,0.0579,0.0881,0.0777,0.0789,0.0781,0.0885,0.0842,0.0974,0.0625,0.0798,0.0867,0.1399,0.0777,0.0312,0.1495,0.127,0.0872,0.0466,0.1217,0.0722,0.0984,0.0561,0.089,0.0745
DESeq2,0.0725,0.0773,0.1031,0.0684,0.0785,0.0354,0.0579,0.0829,0.0881,0.0789,0.0729,0.0833,0.0789,0.0718,0.0625,0.0798,0.0714,0.1192,0.0622,0.0312,0.1392,0.1164,0.1026,0.0466,0.0952,0.0773,0.0777,0.0459,0.0785,0.0532
voom,0.0829,0.0773,0.1186,0.0842,0.0785,0.0758,0.1158,0.0984,0.0984,0.1368,0.0573,0.099,0.1211,0.0923,0.0781,0.1064,0.1173,0.1606,0.0881,0.0833,0.1598,0.1481,0.1333,0.0777,0.1217,0.0928,0.1503,0.0918,0.1414,0.1064
tweeDEseq,0.0725,0.0619,0.1082,0.0947,0.0995,0.0455,0.0842,0.0984,0.0933,0.1158,0.0885,0.0938,0.1158,0.1026,0.0729,0.1011,0.0918,0.1554,0.0829,0.0469,0.1546,0.1217,0.0974,0.0518,0.1058,0.0928,0.1244,0.0714,0.1257,0.1064
ALDEx2,0.1399,0.1082,0.1701,0.1368,0.1361,0.1515,0.1579,0.1658,0.1399,0.1895,0.1198,0.1667,0.1737,0.1385,0.1354,0.1596,0.1582,0.2124,0.1399,0.1198,0.2474,0.2011,0.1744,0.1554,0.1852,0.1546,0.1969,0.1735,0.199,0.1649
NOISeq,0.5026,0.4381,0.4948,0.4684,0.5236,0.4596,0.4474,0.544,0.4974,0.5,0.4792,0.4479,0.5,0.4051,0.4479,0.516,0.4541,0.6166,0.4663,0.3542,0.5928,0.4974,0.4821,0.456,0.5132,0.4485,0.5181,0.4847,0.466,0.5479
DSS,0.0622,0.0567,0.0876,0.0474,0.0681,0.0202,0.0526,0.0933,0.0777,0.0737,0.0625,0.0625,0.0737,0.0718,0.0417,0.0691,0.0714,0.114,0.057,0.0208,0.134,0.0899,0.0872,0.0415,0.0899,0.0722,0.0881,0.0459,0.0524,0.0691
dearseq,0.0674,0.0567,0.1134,0.0526,0.0681,0.0354,0.0737,0.0984,0.0777,0.0895,0.0573,0.0833,0.1,0.0821,0.0625,0.0798,0.0765,0.1399,0.0777,0.0417,0.1495,0.1111,0.0923,0.0363,0.1005,0.0928,0.1192,0.0561,0.0995,0.0798
Wilcoxon,0.0777,0.0722,0.1031,0.0947,0.0942,0.0556,0.1053,0.0829,0.0829,0.1105,0.0417,0.1042,0.1,0.0872,0.0625,0.0957,0.0867,0.1606,0.0933,0.0677,0.1598,0.1429,0.1026,0.0725,0.0952,0.0825,0.1244,0.0969,0.1257,0.1011
