,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,117.08,127.21,115.46,119.92,127.78,118.71,123.1,130.85,121.63,120.81,123.3,117.63,118.82,117.41,120.79,122.79,133.41,119.72,122.2,127.79,121.67,110.07,127.01,117.27,119.53,106.87,128.99,127.01,120.13,112.65
edgeR,0.61,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.59,0.58,0.59,0.6,0.6,0.61,0.59,0.59,0.59,0.59,0.6,0.59,0.6,0.6,0.6,0.61,0.6,0.59,0.59,0.59,0.59,0.59
DESeq2,2.42,2.23,2.2,2.2,2.19,2.22,2.23,2.24,2.2,2.18,2.17,2.21,2.23,2.22,2.17,2.21,2.22,2.19,2.2,2.21,2.2,2.21,2.21,2.17,2.2,2.18,2.61,2.22,2.19,2.2
voom,0.75,0.74,0.73,0.73,0.73,0.74,0.74,0.74,0.73,0.72,0.75,0.75,0.74,0.76,0.73,0.73,0.76,0.73,0.74,0.73,0.74,0.73,0.74,0.76,0.72,0.73,0.73,0.74,0.74,0.73
tweeDEseq,527.52,528.21,533.79,503.49,542.47,468.68,525.33,508.25,528.29,540.14,539.91,546.94,518.14,525.19,500.24,509.18,549.98,498.23,508.66,508.53,500,531.62,518.44,507.89,507.2,519.15,550.98,531.65,540.57,501.52
ALDEx2,34.1,33.09,32.56,32.44,33.36,33.17,32.82,32.55,32.95,32.91,33.31,33.32,33.56,33.22,32.78,32.94,33.02,33.63,33.14,33.69,33.28,33.29,33.32,33.23,32.89,32.83,32.86,33.26,32.8,32.5
NOISeq,5.42,5.4,5.44,5.4,5.35,5.78,5.8,5.42,5.38,5.39,5.35,5.38,5.76,5.36,5.35,5.72,5.39,5.39,5.36,5.35,5.36,5.34,5.37,5.31,5.3,5.31,5.32,5.73,5.71,5.34
DSS,1.61,1.58,1.58,1.57,1.58,1.56,1.58,1.57,1.56,1.55,1.6,1.59,1.55,1.55,1.55,1.56,1.58,1.56,1.59,1.57,1.59,1.57,1.57,1.55,1.54,1.55,1.54,1.55,1.53,1.56
dearseq,0.26,0.26,0.3,0.3,0.26,0.26,0.26,0.29,0.3,0.3,0.26,0.26,0.26,0.3,0.3,0.26,0.26,0.29,0.26,0.3,0.26,0.26,0.27,0.3,0.3,0.26,0.26,0.26,0.26,0.26
Wilcoxon,1.42,1.4,1.38,1.38,1.39,1.44,1.37,1.37,1.38,1.36,1.37,1.38,1.42,1.37,1.38,1.41,1.37,1.37,1.38,1.38,1.37,1.42,1.4,1.35,1.35,1.39,1.38,1.41,1.4,1.38
