,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.0263,0.0062,0.0127,0.0064,0.0194,0,0.0181,0,0.0366,0.0061,0.0126,0.0309,0.0253,0.0058,0.0065,0.0127,0.0186,0.0245,0.0125,0.0129,0.0066,0.0385,0.02,0.0068,0.02,0,0,0.0194,0.0189,0.0063
edgeR,0.0223,0.0412,0.0417,0.0266,0.051,0.0209,0.0406,0.0109,0.0159,0.0106,0.05,0.0462,0.0267,0.0306,0.0214,0.0311,0.037,0.0306,0.0209,0.026,0.0529,0.0215,0.016,0.0269,0.0366,0.0162,0.0052,0.0513,0.0159,0.0272
DESeq2,0.0632,0.0697,0.0743,0.0804,0.0788,0.0603,0.0725,0.0361,0.064,0.0357,0.064,0.09,0.064,0.0545,0.0464,0.0647,0.06,0.0686,0.0256,0.0493,0.0966,0.0469,0.075,0.0697,0.0725,0.0508,0.0352,0.0913,0.0207,0.0711
voom,0.0465,0.0279,0.0556,0.0508,0.0495,0.0275,0.0486,0.0223,0.0484,0.0543,0.0489,0.0632,0.0286,0.0165,0.0387,0.0543,0.0389,0.0481,0.0281,0.0402,0.0341,0.0559,0.0286,0.0449,0.0497,0.0057,0.0213,0.0656,0.0328,0.0503
tweeDEseq,0.0695,0.051,0.0573,0.0484,0.057,0.0513,0.0644,0.038,0.066,0.026,0.0597,0.0561,0.0529,0.0508,0.0321,0.0657,0.0615,0.0564,0.0365,0.0419,0.0863,0.0428,0.0573,0.0538,0.0526,0.027,0.0365,0.0674,0.0265,0.0576
ALDEx2,0.0655,0.0419,0.0244,0.0307,0.0375,0.0187,0.0361,0.0123,0.0417,0.0473,0.0299,0.0536,0.0301,0.0226,0.0248,0.0307,0.0417,0.0485,0.0303,0.013,0.0497,0.0545,0.0377,0.0382,0.0382,0.0194,0.0121,0.0542,0.0184,0.0307
NOISeq,0.0097,0.0261,0,0.0196,0.0185,0,0.0394,0,0.0083,0,0.0091,0.016,0.0092,0.0076,0.0179,0,0.0333,0,0.011,0.027,0.0171,0.0204,0.0192,0,0.0103,0.0098,0.0172,0.0288,0,0.0265
DSS,0.0524,0.064,0.0686,0.0462,0.069,0.0404,0.0728,0.016,0.0306,0.0052,0.0634,0.0773,0.0505,0.0495,0.0357,0.0505,0.0597,0.0539,0.0305,0.0359,0.0837,0.0366,0.0359,0.051,0.0683,0.0455,0.03,0.0553,0.0254,0.057
dearseq,0.0638,0.0603,0.0561,0.0821,0.0792,0.065,0.0821,0.0421,0.0704,0.041,0.0735,0.078,0.0667,0.0508,0.0471,0.075,0.0743,0.0647,0.0505,0.051,0.1073,0.0521,0.0704,0.0677,0.0518,0.0267,0.05,0.0714,0.0417,0.0667
Wilcoxon,0.0621,0.0376,0.0638,0.0339,0.0532,0.037,0.0526,0.0272,0.0428,0.0471,0.0535,0.0479,0.0495,0.0319,0.0486,0.0541,0.0601,0.0688,0.037,0.0503,0.0745,0.0489,0.0452,0.0409,0.0395,0.0389,0.033,0.0541,0.0269,0.05
