,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.0206,0.0108,0.0108,0,0.016,0.026,0.0053,0.0053,0.0053,0.0054,0.0207,0.0104,0.0155,0.0108,0.0053,0.016,0.0272,0.0055,0.0107,0.0106,0.0105,0.0106,0.0157,0.0054,0.0154,0.0105,0.0104,0.0157,0.0106,0.0107
edgeR,0.0197,0.0524,0.0343,0.0433,0.0483,0.0435,0.0392,0.0199,0.0246,0.0197,0.0293,0.0198,0.0388,0.0246,0.0341,0.039,0.0296,0.0435,0.0149,0.0481,0.0296,0.0246,0.0149,0.0244,0.005,0.0386,0.0294,0.0435,0.0248,0.0297
DESeq2,0.0524,0.0783,0.0571,0.0704,0.0748,0.066,0.0483,0.034,0.0569,0.0245,0.0476,0.0433,0.0657,0.0388,0.0476,0.0787,0.0521,0.0704,0.0521,0.0698,0.0794,0.0616,0.0149,0.0386,0.0433,0.0569,0.0433,0.0569,0.0437,0.0574
voom,0.0488,0.0493,0.0452,0.0299,0.035,0.0721,0.0534,0.049,0.0394,0.049,0.0343,0.0251,0.0441,0.0355,0.0529,0.0539,0.0404,0.0534,0.0446,0.035,0.0498,0.0628,0.0392,0.025,0.0622,0.0539,0.0249,0.0537,0.0347,0.045
tweeDEseq,0.0478,0.0481,0.0481,0.0616,0.0577,0.0529,0.0296,0.034,0.0433,0.0246,0.0521,0.0524,0.0569,0.0341,0.034,0.0619,0.0569,0.0616,0.0293,0.0481,0.0529,0.0574,0.0197,0.0341,0.0435,0.0435,0.0435,0.0704,0.0199,0.0664
ALDEx2,0.0503,0.037,0.0368,0.0457,0.0365,0.0505,0.0156,0.0258,0.0365,0.0263,0.0505,0.0205,0.0308,0.0518,0.0361,0.0508,0.0378,0.0366,0.0415,0.0259,0.0361,0.0547,0.0398,0.0266,0.0402,0.0406,0.0157,0.0412,0.0457,0.0464
NOISeq,0.0123,0.0185,0,0.0064,0.0065,0.0244,0.0063,0,0.0067,0,0,0.012,0,0.013,0,0.0064,0.0131,0.0253,0,0.0182,0.0238,0.0127,0,0.0179,0.0183,0.0132,0.0064,0.0136,0,0
DSS,0.0478,0.0657,0.0524,0.061,0.0526,0.0569,0.0619,0.034,0.0566,0.0293,0.0476,0.0566,0.0478,0.0388,0.0433,0.0744,0.0476,0.0569,0.0654,0.0698,0.0526,0.0481,0.0245,0.0521,0.0433,0.0613,0.0433,0.0566,0.0433,0.0433
dearseq,0.0657,0.0613,0.0526,0.0791,0.0622,0.0574,0.0249,0.034,0.0433,0.0293,0.0566,0.061,0.0569,0.0388,0.0386,0.0708,0.0569,0.066,0.034,0.0701,0.0571,0.0708,0.0198,0.0341,0.0569,0.066,0.0526,0.066,0.039,0.0616
Wilcoxon,0.039,0.0488,0.0446,0.0481,0.0673,0.0485,0.0493,0.025,0.0343,0.025,0.034,0.0483,0.0435,0.0441,0.0571,0.0755,0.045,0.0534,0.0485,0.025,0.0583,0.0664,0.0435,0.0299,0.0571,0.0396,0.0485,0.0443,0.0345,0.0348
