,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.26,0.195,0.225,0.225,0.24,0.185,0.185,0.19,0.21,0.19,0.215,0.215,0.23,0.15,0.24,0.22,0.21,0.205,0.21,0.235,0.25,0.25,0.265,0.275,0.265,0.23,0.195,0.24,0.22,0.215
edgeR,0.125,0.07,0.08,0.085,0.07,0.065,0.055,0.09,0.07,0.065,0.05,0.07,0.09,0.05,0.085,0.065,0.09,0.05,0.065,0.065,0.105,0.09,0.08,0.095,0.08,0.09,0.05,0.075,0.07,0.105
DESeq2,0.11,0.065,0.065,0.085,0.065,0.065,0.04,0.065,0.05,0.055,0.05,0.04,0.05,0.045,0.075,0.06,0.06,0.05,0.05,0.035,0.065,0.085,0.075,0.065,0.04,0.065,0.04,0.055,0.055,0.085
voom,0.18,0.13,0.15,0.16,0.135,0.115,0.12,0.125,0.115,0.13,0.125,0.11,0.15,0.105,0.13,0.13,0.135,0.11,0.135,0.165,0.15,0.155,0.15,0.15,0.14,0.135,0.08,0.145,0.115,0.15
tweeDEseq,0.13,0.07,0.095,0.115,0.09,0.075,0.055,0.115,0.08,0.065,0.055,0.075,0.105,0.065,0.095,0.075,0.085,0.08,0.075,0.085,0.1,0.105,0.095,0.12,0.1,0.1,0.075,0.1,0.08,0.1
ALDEx2,0.215,0.2,0.2,0.21,0.23,0.215,0.2,0.195,0.195,0.195,0.19,0.205,0.195,0.135,0.215,0.21,0.195,0.215,0.2,0.24,0.235,0.22,0.235,0.245,0.245,0.24,0.185,0.215,0.2,0.21
NOISeq,0.49,0.44,0.48,0.5,0.47,0.43,0.39,0.44,0.4,0.405,0.455,0.385,0.46,0.35,0.45,0.435,0.42,0.475,0.55,0.46,0.425,0.52,0.49,0.495,0.52,0.495,0.43,0.495,0.54,0.45
DSS,0.095,0.05,0.05,0.07,0.055,0.05,0.045,0.075,0.05,0.05,0.04,0.045,0.06,0.04,0.055,0.06,0.055,0.035,0.045,0.06,0.07,0.08,0.06,0.07,0.045,0.055,0.03,0.06,0.04,0.09
dearseq,0.12,0.065,0.075,0.105,0.07,0.065,0.05,0.09,0.075,0.065,0.055,0.055,0.09,0.065,0.09,0.075,0.065,0.06,0.06,0.07,0.085,0.09,0.075,0.105,0.085,0.09,0.05,0.09,0.08,0.09
Wilcoxon,0.17,0.105,0.12,0.145,0.11,0.09,0.1,0.105,0.105,0.09,0.115,0.105,0.135,0.09,0.12,0.125,0.14,0.12,0.09,0.15,0.13,0.125,0.155,0.18,0.15,0.135,0.12,0.125,0.095,0.145
