,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,128.27,120.78,126.13,127.55,130.44,108.39,110.81,118.99,122.94,131.97,120.27,130.07,133.8,122.43,123.5,124.81,124.99,129.09,122.77,134.13,116.58,132.2,124.56,130.4,135.37,125.13,121.48,126.54,122.88,117.46
edgeR,0.63,0.6,0.6,0.6,0.59,0.61,0.59,0.6,0.6,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.6,0.61,0.6,0.6,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.62,0.6
DESeq2,2.38,2.3,2.19,2.19,2.18,2.17,2.18,2.22,2.23,2.23,2.24,2.23,2.2,2.23,2.24,2.22,2.24,2.21,2.21,2.22,2.23,2.23,2.23,2.21,2.22,2.23,2.22,2.22,2.24,2.21
voom,0.76,0.76,0.73,0.72,0.73,0.74,0.73,0.74,0.74,0.76,0.74,0.74,0.74,0.76,0.74,0.74,0.75,0.76,0.75,0.74,0.76,0.74,0.76,0.75,0.75,0.74,0.74,0.75,0.74,0.73
tweeDEseq,516.31,531.57,547.2,541.36,564.6,529.13,550.38,557.98,565.23,586.9,566.53,562.55,549.88,556.31,545.34,534.27,539.7,617.73,524.14,521.04,564.15,538.84,558.08,524.29,521.05,557.74,540.14,570.21,545.37,542.1
ALDEx2,35.37,34.07,33.82,33.79,33.7,33.46,33.69,33.75,34.2,34.38,34.41,33.94,34.39,33.98,33.69,34.21,34.04,33.82,34.11,34.13,33.87,33.86,33.75,33.89,34.13,34.12,34.1,34.16,34.34,33.83
NOISeq,5.7,5.3,5.28,5.29,5.29,5.28,5.73,5.34,5.34,5.34,5.33,5.33,5.33,5.35,5.33,5.31,5.33,5.33,5.73,5.34,5.39,5.4,5.36,5.37,5.37,5.37,5.36,5.39,5.53,5.39
DSS,1.58,1.56,1.54,1.54,1.53,1.54,1.54,1.55,1.56,1.56,1.55,1.56,1.56,1.56,1.57,1.55,1.55,1.55,1.54,1.55,1.54,1.55,1.55,1.54,1.54,1.55,1.55,1.57,1.58,1.54
dearseq,0.26,0.26,0.29,0.26,0.3,0.29,0.26,0.26,0.26,0.26,0.3,0.27,0.26,0.26,0.26,0.26,0.26,0.29,0.3,0.26,0.26,0.26,0.26,0.26,0.3,0.26,0.27,0.26,0.26,0.29
Wilcoxon,1.41,1.4,1.77,1.41,1.38,1.38,1.43,1.42,1.4,1.41,1.39,1.42,1.42,1.41,1.4,1.42,1.43,1.4,1.4,1.42,1.42,1.4,1.42,1.42,1.39,1.42,1.41,1.42,1.42,1.41
