,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,37.28,41.01,39.14,42.57,43.5,44.47,39.58,39.23,37.09,40.94,41.36,40.74,44.46,39.51,44.17,46.59,45.68,44.5,42.94,43.16,43.19,42.96,40.01,42.33,37.98,37.78,36.07,39.25,41.5,39.06
edgeR,0.99,0.88,0.89,0.88,0.88,0.89,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.89,0.9,0.89
DESeq2,3.31,3.1,3.05,3.06,3.02,3.04,3.01,3.03,3.1,3.01,3.03,3.02,3.02,3.02,3.04,3.03,3.03,3.02,3.04,3.02,3.03,3.01,3.01,3.03,3.02,3.02,3.01,3.01,3.02,3.02
voom,1.14,1.06,1.06,1.06,1.06,1.06,1.05,1.06,1.05,1.06,1.08,1.06,1.06,1.06,1.07,1.06,1.06,1.06,1.06,1.06,1.07,1.07,1.06,1.06,1.07,1.06,1.08,1.07,1.07,1.09
tweeDEseq,571.62,545.61,549.28,563.55,536.34,548.58,571.53,577.48,573.73,580.99,581.01,550.94,562.09,599.09,575.28,540.3,553.08,560.58,553.48,567.39,605.25,590.71,572.4,560.59,536.75,568.29,598.15,555.11,568.77,570.4
ALDEx2,28.59,25.55,25.87,26.4,25.64,25.93,26.24,25.47,26.06,25.98,25.99,25.59,25.75,25.68,26.03,25.7,26.4,25.99,26.33,25.62,25.7,25.68,25.98,26.89,26.02,26.34,25.6,25.63,25.96,25.6
NOISeq,7.27,7.25,7.25,7.18,7.18,7.2,7.28,7.26,7.2,7.22,7.21,7.2,7.21,7.2,7.2,7.59,7.21,7.6,7.21,7.22,7.22,7.59,7.59,7.2,7.21,7.2,7.21,7.21,7.21,7.21
DSS,2.46,2.44,2.44,2.44,2.43,2.44,2.42,2.41,2.42,2.43,2.44,2.44,2.44,2.42,2.43,2.43,2.43,2.41,2.45,2.46,2.43,2.44,2.45,2.45,2.44,2.45,2.44,2.43,2.43,2.44
dearseq,0.46,0.45,0.84,0.49,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.47,0.45,0.49,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.49,0.45
Wilcoxon,1.97,1.93,1.88,1.88,1.92,2.31,1.94,1.92,1.94,1.94,1.95,1.94,1.94,1.93,1.94,1.93,1.94,1.93,1.94,1.89,1.88,1.93,1.93,1.93,1.93,1.96,1.95,1.92,1.89,1.92
