,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.05,0.08,0.08,0.04,0.08,0.065,0.06,0.055,0.07,0.075,0.055,0.045,0.05,0.08,0.06,0.075,0.105,0.095,0.075,0.07,0.06,0.065,0.06,0.075,0.04,0.055,0.045,0.06,0.065,0.075
edgeR,0.005,0,0.01,0,0.01,0.005,0.015,0.005,0,0.005,0.005,0,0.005,0.01,0.005,0.005,0,0.005,0.005,0.01,0.015,0.01,0.01,0,0.005,0.005,0.005,0.005,0.015,0.005
DESeq2,0.005,0,0.01,0.01,0.01,0.01,0.015,0.005,0.005,0.005,0,0.005,0.005,0.01,0,0.005,0,0.01,0,0,0.015,0.01,0.01,0.005,0.005,0.005,0.005,0.005,0.015,0.015
voom,0.025,0.035,0.05,0.025,0.035,0.035,0.025,0.03,0.025,0.03,0.015,0.03,0.025,0.05,0.015,0.035,0.05,0.025,0.035,0.035,0.045,0.03,0.02,0.025,0.02,0.035,0.02,0.03,0.025,0.045
tweeDEseq,0.005,0.01,0.01,0.01,0.02,0.015,0.015,0.005,0.005,0.01,0,0.005,0.005,0.01,0.005,0.015,0.005,0.01,0.005,0.01,0.015,0.015,0.005,0.01,0.01,0.01,0.01,0.01,0.015,0.015
ALDEx2,0.055,0.09,0.085,0.06,0.075,0.06,0.055,0.055,0.075,0.075,0.06,0.045,0.055,0.085,0.065,0.065,0.11,0.08,0.075,0.06,0.065,0.05,0.035,0.085,0.045,0.055,0.06,0.07,0.06,0.075
NOISeq,0.195,0.205,0.265,0.225,0.24,0.2,0.205,0.23,0.26,0.23,0.25,0.18,0.225,0.24,0.22,0.225,0.245,0.23,0.26,0.19,0.18,0.22,0.205,0.175,0.195,0.25,0.225,0.275,0.215,0.22
DSS,0.005,0.005,0.005,0,0.01,0.005,0.015,0.005,0,0.005,0,0,0.005,0.01,0.005,0.005,0,0.005,0,0,0.01,0.01,0.005,0,0.005,0.005,0.005,0,0.005,0.005
dearseq,0.005,0.005,0.01,0.01,0.02,0.015,0.02,0.005,0.005,0.005,0,0,0.005,0.01,0.005,0.015,0.005,0.01,0.005,0.005,0.01,0.015,0.01,0.01,0.005,0.01,0.01,0.01,0.015,0.01
Wilcoxon,0.015,0.025,0.035,0.01,0.03,0.02,0.035,0.025,0.015,0.025,0.005,0.015,0.01,0.025,0.01,0.02,0.045,0.025,0.02,0.025,0.03,0.015,0.01,0.025,0.01,0.03,0.02,0.03,0.02,0.03
