"","simu1","simu2","simu3","simu4","simu5","simu6","simu7","simu8","simu9","simu10","simu11","simu12","simu13","simu14","simu15","simu16","simu17","simu18","simu19","simu20","simu21","simu22","simu23","simu24","simu25","simu26","simu27","simu28","simu29","simu30"
"SIEVE",39.5,35.89,36.59,42.47,37.79,35.06,37.86,41.22,40.1,38.08,33.65,36.36,37.31,36.81,39.18,32.6,38.34,40.92,37.37,37.89,35.29,32.34,35.38,37.96,36.01,36.71,42.36,41.69,41.1,39.69
"edgeR",0.9,0.87,0.89,0.88,0.86,0.86,0.89,0.88,0.89,0.89,0.87,0.88,0.89,0.91,0.89,0.89,0.88,0.89,0.86,0.89,0.87,0.87,0.87,0.89,0.9,0.87,0.88,0.88,0.88,0.88
"DESeq2",3.07,2.98,3,3,3.34,2.96,2.99,2.99,2.98,2.99,2.98,2.99,3.02,2.96,2.97,2.98,2.96,2.93,2.95,2.94,2.95,2.94,2.96,2.98,3,3.02,2.99,3,2.99,3
"voom",1.06,1.03,1.06,1.05,1.03,1.05,1.48,1.05,1.05,1.06,1.05,1.05,1.05,1.07,1.05,1.04,1.06,1.05,1.03,1.05,1.04,1.05,1.04,1.06,1.06,1.04,1.05,1.05,1.05,1.05
"tweeDEseq",610.59,664.63,608.89,570.05,601.97,568.72,554.11,586.5,579.04,621.07,576.8,564.75,617.77,605.93,609.15,557.6,599.38,542.87,626.17,577.44,640.57,529.1,639.66,561,565.84,634.03,556.84,600.83,579.17,549.65
"ALDEx2",26.01,25.55,25.66,25.66,25.28,25.6,25.55,26.28,25.92,25.95,25.97,25.57,25.57,25.59,26.27,25.3,25.27,25.3,25.68,26,25.61,25.63,25.11,25.69,25.3,25.9,26.31,25.5,25.9,25.56
"NOISeq",7.08,7.09,7.1,7.01,7,7.06,7.46,7.08,7.44,7.07,7.06,7.06,7.05,7.51,7.05,6.99,6.98,6.98,7.37,6.98,7,6.97,7.08,7.09,7.1,7.1,7.1,7.09,7.1,7.09
"DSS",2.6,2.65,2.62,2.62,2.62,2.64,2.66,2.63,2.65,2.67,2.64,2.63,2.64,2.65,2.65,2.61,2.59,2.6,2.63,2.6,2.59,2.66,2.63,2.6,2.6,2.61,2.65,2.64,2.64,2.62
"dearseq",0.45,0.45,0.5,0.44,0.49,0.45,0.44,0.45,0.46,0.45,0.45,0.45,0.47,0.46,0.45,0.44,0.44,0.49,0.45,0.45,0.44,0.44,0.46,0.44,0.44,0.45,0.45,0.5,0.5,0.51
"Wilcoxon",1.88,1.88,1.86,1.91,1.84,1.92,1.87,1.91,1.88,1.86,1.91,1.91,1.91,1.87,1.92,1.9,1.88,1.85,1.85,1.9,1.87,1.88,1.9,1.89,1.89,1.9,1.92,1.86,1.86,1.85
