"","simu1","simu2","simu3","simu4","simu5","simu6","simu7","simu8","simu9","simu10","simu11","simu12","simu13","simu14","simu15","simu16","simu17","simu18","simu19","simu20","simu21","simu22","simu23","simu24","simu25","simu26","simu27","simu28","simu29","simu30"
"SIEVE",118.57,127.62,110.27,115.46,121.7,131.71,116.46,112.94,123.08,116.09,130.42,125.26,137.71,122.64,118.88,117.6,120.83,124.53,124.81,119.13,119.98,128.98,126.17,116.6,116.79,120.22,124.63,119.76,114.59,117.96
"edgeR",0.6,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.59,0.58,0.58,0.57,0.59,0.58,0.59,0.6,0.61,0.59,0.58,0.6,0.6,0.58,0.58,0.58,0.57,0.6,0.59,0.58,0.58,0.58
"DESeq2",2.11,2.12,2.11,2.1,2.1,2.12,2.1,2.11,2.13,2.09,2.1,2.09,2.13,2.1,2.1,2.09,2.1,2.1,2.11,2.14,2.13,2.08,2.1,2.09,2.09,2.1,2.13,2.09,2.08,2.11
"voom",0.74,0.73,0.73,0.73,0.73,0.73,0.74,0.72,0.72,0.71,0.71,0.71,0.72,0.74,0.72,0.74,0.74,0.73,0.72,0.76,0.73,0.72,0.71,0.72,0.71,0.73,0.73,0.71,0.72,0.72
"tweeDEseq",561.97,567.03,548.44,581.1,577.85,559.1,557.18,569.36,528.57,590.6,588.85,552.01,627.49,539.1,521.61,534.36,605.01,563.46,603.89,576,545.47,544.06,531.19,556.94,541.67,561.43,611.24,582.51,553.05,567.31
"ALDEx2",32.47,32.07,32.41,32.39,32.05,32.54,32.45,32.87,32.47,32,31.94,32.39,32.22,32.03,32.76,32.13,32.41,32.24,32.18,32.95,31.99,32.23,32.08,31.92,32.21,32.82,32.43,31.94,32.27,32.33
"NOISeq",5.38,5.37,5.38,5.36,5.76,5.39,5.37,5.34,5.76,5.37,5.34,5.32,5.32,5.31,5.32,5.72,5.34,5.32,5.35,5.34,5.72,5.7,5.33,5.35,5.32,5.33,5.31,5.34,5.33,5.34
"DSS",1.65,1.66,1.65,1.69,1.65,1.68,1.67,1.66,1.68,1.66,1.66,1.68,1.68,1.66,1.67,1.7,1.67,1.67,1.68,1.66,1.65,1.69,1.67,1.65,1.68,1.68,1.66,1.67,1.67,1.68
"dearseq",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.3,0.26,0.26,0.26,0.26,0.26,0.26,0.3,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
"Wilcoxon",1.36,1.37,1.37,1.34,1.38,1.34,1.35,1.35,1.34,1.36,1.34,1.39,1.38,1.37,1.35,1.34,1.37,1.36,1.35,1.36,1.39,1.35,1.78,1.35,1.38,1.38,1.37,1.38,1.36,1.34
