,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.08876,0.01087,0.01705,0.00549,0.18947,0.00552,0.01754,0.0061,0,0.00575,0,0,0.01714,0.01667,0.04023,0,0.01714,0.00562,0,0.00565,0.00645,0.02994,0.0113,0.02139,0.03106,0.00568,0.00575,0.00565,0.16837,0.00617
edgeR,0.33829,0.18723,0.11792,0.25692,0.61966,0.15982,0.30153,0.30769,0.19024,0.16038,0.11616,0.13,0.18943,0.2381,0.23431,0.14414,0.22414,0.16268,0.11558,0.13527,0.13978,0.33333,0.19111,0.39016,0.21429,0.16588,0.17143,0.11374,0.64449,0.23858
DESeq2,0.2931,0.15714,0.07732,0.17808,0.56486,0.11386,0.21918,0.23039,0.1641,0.09659,0.06704,0.09783,0.12808,0.20874,0.20091,0.10628,0.17561,0.11053,0.08197,0.10929,0.08667,0.21717,0.12245,0.3166,0.15084,0.12042,0.11765,0.06383,0.61823,0.18293
voom,0.15238,0.04478,0.01562,0.06,0.45652,0.01596,0.06218,0.09794,0.02151,0.01604,0,0.02116,0.05208,0.06091,0.09043,0.01554,0.03825,0.03061,0.01622,0.02703,0,0.05085,0.01058,0.12207,0.07303,0.02116,0.01587,0.01058,0.44753,0.03371
tweeDEseq,0.14013,0.05747,0.02083,0.05422,0.2948,0.00714,0.04,0.06015,0.02222,0.02098,0.00746,0.0137,0.01316,0.09434,0.07051,0.00617,0.06452,0.02143,0.01379,0.01418,0.00917,0.0597,0.03049,0.12849,0.06349,0.02027,0.01408,0.00645,0.44978,0.04348
ALDEx2,0.12048,0.01124,0.0117,0,0.22581,0.00592,0,0.0137,0,0,0,0.00621,0,0.02941,0.07186,0,0.0122,0.00595,0,0,0,0.01342,0,0.02825,0.00685,0,0.01266,0,0.08982,0
DSS,0.28571,0.15228,0.08333,0.17371,0.57609,0.13333,0.22897,0.24752,0.15676,0.10795,0.08187,0.10929,0.13433,0.19307,0.20283,0.12077,0.19,0.1117,0.09444,0.10465,0.12676,0.23618,0.10769,0.30709,0.15909,0.13918,0.13978,0.07527,0.63107,0.1745
dearseq,0.12583,0.05202,0.02158,0.06173,0.30952,0.01481,0.05333,0.04651,0.02222,0.01439,0.00758,0.01379,0.0274,0.1,0.0625,0,0.05229,0.02143,0.00709,0.0146,0.00943,0.04839,0.01887,0.12222,0.06667,0.00704,0.01515,0,0.5283,0.05263
NOISeq,0.09783,0.0099,0,0,0.15294,0.01282,0.01351,0.04167,0.0137,0,0.01205,0,0.01124,0.01136,0,0.0099,0.01587,0,0.00926,0,0,0,0,0.02727,0.01408,0,0,0.02,0.21649,0
