,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,18.99,20.87,18.37,18.85,17.7,16.92,21.67,19.67,19.55,18.77,19.01,21.46,17.93,22.41,21.2,16.61,18.5,19.6,18.77,17.86,19.8,18.42,19.41,18.77,19.4,17.11,16.52,18.7,21.4,18.88
edgeR,0.69,0.67,0.66,0.66,0.66,0.65,0.68,0.66,0.67,0.66,0.66,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.69,0.66,0.66,0.66,0.66,0.66,0.67,0.67,0.66,0.66,0.66
DESeq2,2.03,1.89,1.88,1.85,1.88,2.24,1.86,1.88,1.88,1.88,1.87,1.88,1.85,1.84,1.83,1.83,1.84,1.84,1.82,1.81,1.82,1.84,1.84,1.9,1.86,1.86,1.84,1.81,1.83,1.82
voom,0.64,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.61,0.63,0.62,0.62,0.63,0.61,0.66,0.64,0.61,0.61,0.62,0.62,0.61,0.6,0.61,0.61,0.61,0.62,0.61,0.61,0.61
tweeDEseq,352.58,386.78,325.31,475.03,370.35,420.11,405.42,441.12,419,430.92,398.61,360.06,388.75,375.88,378.42,454.72,380.83,407.3,388.04,392.34,402.68,395.36,415.96,385.21,366.54,453.92,420.76,349.53,316.39,411.14
ALDEx2,17.22,16.68,16.78,16.16,16.19,16.52,16.13,16.51,16.55,16.37,16.92,16.57,16.61,16.21,16.63,16.81,16.59,16.62,16.19,16.3,16.61,16.36,16.06,16.64,16.22,16.51,16.46,16.18,16.5,16.13
DSS,0.63,0.98,0.61,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.59,0.6,0.61,0.59,0.59,0.61,0.6,0.6,0.62,0.6,0.6,0.59,0.6,0.61,0.61,0.59,0.6,1,0.61,0.63
dearseq,0.14,0.14,0.15,0.14,0.14,0.14,0.16,0.14,0.15,0.17,0.17,0.14,0.14,0.14,0.16,0.14,0.17,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.16,0.14,0.15,0.14,0.15
NOISeq,1.77,1.4,1.38,1.39,1.36,1.39,1.4,1.79,1.42,1.43,1.39,1.8,1.31,1.3,1.67,1.28,1.26,1.29,1.34,1.29,1.3,1.4,1.47,1.37,1.34,1.29,1.29,1.33,1.29,1.34
