,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0,0.0404,0.01242,0,0.01351,0.02778,0,0.06944,0.01439,0.01042,0.0355,0.00781,0.01408,0.01471,0.01724,0,0.02206,0,0.08219,0.01087,0.00794,0.02817,0.00735,0.0087,0,0,0.00704,0.01786,0,0.01709
edgeR,0.1092,0.46512,0.20087,0.1676,0.23529,0.32,0.16763,0.23529,0.16667,0.17089,0.25214,0.15344,0.10929,0.16352,0.20879,0.15385,0.2234,0.16867,0.27586,0.10596,0.13776,0.24667,0.21531,0.24211,0.17486,0.11377,0.13433,0.21591,0.13462,0.24537
DESeq2,0.11429,0.4,0.14508,0.13376,0.21053,0.25654,0.14384,0.14881,0.11538,0.14074,0.21801,0.11905,0.04878,0.14504,0.16,0.112,0.15882,0.10294,0.26667,0.02655,0.10326,0.20149,0.1573,0.19753,0.11765,0.08667,0.1123,0.16084,0.08427,0.19355
voom,0,0.10569,0.05,0.01538,0.04268,0.07692,0.02817,0.04348,0.02548,0.02439,0.07065,0.01361,0.02424,0.01183,0.04286,0,0.0473,0.00775,0.07018,0.01527,0.01504,0.0381,0.01351,0.02158,0.01342,0.00746,0.03205,0.05806,0.00559,0.08609
tweeDEseq,0.0099,0.08108,0.07752,0.00885,0,0.05833,0.02326,0.02857,0.03704,0.02857,0.06944,0.03883,0.01942,0.01695,0.02817,0,0.05769,0.0119,0.02941,0,0.01852,0.03636,0.02542,0.03614,0,0,0.02752,0.01299,0.00794,0.1
ALDEx2,0,0,0.00746,0,0,0,0,0.03478,0,0,0.03974,0,0,0,0.01053,0,0.00862,0,0,0,0.00935,0.01695,0,0.01087,0,0,0,0.01149,0,0.00962
DSS,0.10596,0.37766,0.13873,0.10135,0.15723,0.25146,0.13953,0.13072,0.0915,0.07595,0.18812,0.0916,0.06081,0.09346,0.16,0.0495,0.14966,0.09402,0.25,0.0119,0.05625,0.10204,0.1,0.19549,0.07895,0.0885,0.09494,0.10784,0.07879,0.15951
dearseq,0,0.09333,0.08029,0.00893,0,0.08,0.03571,0.0283,0.03125,0.025,0.08,0.03922,0.01887,0.02857,0.0303,0.01429,0.06481,0.01099,0.05556,0.01351,0.0177,0.03333,0.02419,0.0375,0.00893,0.01042,0.03571,0.01266,0.00794,0.10435
NOISeq,0,0,0.01333,0,0.0303,0.04762,0.02083,0,0,0.01961,0.03846,0,0,0,0,0,0,0.01923,0,0,0,0,0.0339,0,0,0,0,0.0303,0,0.02128
