,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,54.66,53.71,48.16,40.72,45.57,50.97,57.34,47.67,44.52,42.98,56.43,50.65,47.5,52.16,45.45,53.1,51.73,47.23,49.92,45.7,49.93,57.44,49.44,44.03,44.94,49.17,43.32,47.24,51.08,52.58
edgeR,0.45,0.44,0.45,0.44,0.44,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.44,0.44,0.44,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.44,0.44,0.44,0.44,0.44
DESeq2,1.33,1.31,1.32,1.28,1.29,1.26,1.31,1.3,1.28,1.33,1.34,1.28,1.35,1.33,1.3,1.28,1.28,1.33,1.32,1.32,1.3,1.36,1.29,1.32,1.32,1.28,1.28,1.3,1.28,1.28
voom,0.44,0.43,0.43,0.42,0.42,0.42,0.43,0.43,0.42,0.44,0.43,0.42,0.44,0.42,0.42,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.47,0.42,0.42,0.42
tweeDEseq,355.85,319.93,423.04,354,420.55,300.65,387.09,408.3,409.35,376.24,336.28,326.38,289.58,348.31,363.37,325.44,351.48,330.94,327.99,278.94,396.03,344.21,353.09,419.53,333.59,343.09,401.44,354.56,357.29,379.52
ALDEx2,39.05,39.58,37.74,39.38,38.83,38.63,39.49,38.4,40.22,40.38,39.14,38.6,39.13,38.77,38.56,40.33,39.76,40.02,40.35,40.21,39.94,40.56,39.87,39.48,39.62,40.28,39.03,39.06,38.37,39.3
DSS,0.42,0.39,0.41,0.4,0.41,0.41,0.41,0.39,0.4,0.4,0.41,0.4,0.39,0.4,0.4,0.42,0.41,0.4,0.38,0.4,0.41,0.39,0.4,0.4,0.41,0.4,0.38,0.41,0.41,0.41
dearseq,0.07,0.09,0.08,0.08,0.08,0.09,0.08,0.1,0.07,0.07,0.07,0.08,0.09,0.08,0.09,0.1,0.07,0.07,0.1,0.07,0.08,0.1,0.09,0.09,0.1,0.08,0.11,0.07,0.08,0.08
NOISeq,1.68,1.26,1.23,1.22,1.17,1.16,1.35,1.15,1.29,1.34,1.34,1.29,1.28,1.34,1.56,1.15,1.32,1.35,1.27,1.34,1.32,1.24,1.31,1.29,1.3,1.17,1.15,1.22,1.22,1.15
