,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.23,0.09,0.135,0.095,0.23,0.1,0.16,0.185,0.165,0.135,0.165,0.14,0.14,0.115,0.165,0.105,0.14,0.115,0.16,0.12,0.23,0.19,0.125,0.085,0.22,0.125,0.135,0.12,0.185,0.195
edgeR,0.11,0.045,0.065,0.06,0.11,0.08,0.085,0.145,0.17,0.11,0.125,0.13,0.08,0.12,0.085,0.05,0.1,0.125,0.12,0.105,0.2,0.17,0.09,0.07,0.175,0.12,0.13,0.065,0.145,0.25
DESeq2,0.18,0.115,0.105,0.1,0.195,0.105,0.145,0.215,0.185,0.205,0.165,0.17,0.115,0.185,0.125,0.075,0.155,0.155,0.16,0.185,0.315,0.225,0.14,0.115,0.24,0.16,0.175,0.12,0.225,0.33
voom,0.11,0.04,0.055,0.06,0.125,0.075,0.095,0.125,0.09,0.08,0.12,0.075,0.09,0.075,0.145,0.05,0.12,0.05,0.09,0.1,0.12,0.16,0.065,0.065,0.175,0.075,0.07,0.065,0.105,0.14
tweeDEseq,0.325,0.18,0.295,0.215,0.39,0.305,0.28,0.375,0.34,0.3,0.335,0.28,0.25,0.28,0.275,0.195,0.275,0.315,0.285,0.305,0.46,0.37,0.205,0.22,0.41,0.275,0.3,0.23,0.37,0.45
ALDEx2,0.27,0.12,0.155,0.15,0.28,0.16,0.24,0.28,0.24,0.19,0.2,0.2,0.175,0.175,0.225,0.14,0.19,0.165,0.225,0.18,0.27,0.265,0.155,0.14,0.275,0.175,0.22,0.185,0.24,0.25
DSS,0.2,0.165,0.12,0.12,0.22,0.155,0.175,0.24,0.22,0.215,0.215,0.185,0.13,0.185,0.155,0.09,0.19,0.165,0.185,0.23,0.38,0.24,0.13,0.12,0.26,0.165,0.2,0.14,0.24,0.385
dearseq,0.34,0.18,0.32,0.24,0.42,0.335,0.29,0.385,0.34,0.315,0.345,0.285,0.29,0.28,0.325,0.2,0.275,0.315,0.3,0.325,0.475,0.41,0.22,0.21,0.44,0.295,0.35,0.24,0.375,0.46
NOISeq,0.585,0.5,0.56,0.625,0.64,0.615,0.635,0.655,0.64,0.66,0.59,0.62,0.56,0.565,0.57,0.5,0.69,0.595,0.465,0.625,0.74,0.7,0.57,0.465,0.65,0.565,0.565,0.51,0.62,0.695
