,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,62.18,61.03,59.17,64.89,57.11,70.11,76.52,65.17,53.27,58.45,74.72,65.11,67.57,56.38,63.75,65.5,57.86,56.83,61.95,68.75,53.53,63.42,67.87,68.45,66.99,54.17,64.16,53.69,47.6,62.56
edgeR,1.1,1.09,1.06,1.08,1.09,1.08,1.09,1.08,1.09,1.09,1.09,1.1,1.08,1.08,1.07,1.09,1.09,1.09,1.11,1.09,1.08,1.09,1.11,1.08,1.09,1.08,1.08,1.1,1.08,1.08
DESeq2,1.51,1.52,1.49,1.5,1.47,1.53,1.5,1.5,1.53,1.52,1.49,1.51,1.51,1.53,1.57,1.5,1.53,1.52,1.51,2.03,1.5,1.49,1.5,1.51,1.52,1.48,1.48,1.48,1.53,1.52
voom,1,1,0.98,1.02,1.03,0.99,1,1,1.02,1,1.01,1.02,1,1,1,1.02,1.02,1,1.02,1,1.01,1.01,1,1.02,1.01,1.02,1,1.02,1,1.01
tweeDEseq,318.53,287.94,299.74,276.58,323.61,273.15,316.97,324.11,329.73,319.22,322.49,284.08,259.64,279.47,288.75,294.83,269.17,281.83,334.06,282.21,344.88,309.53,337.67,363.34,299.36,345.83,278.88,394,309.56,305.61
ALDEx2,32.36,32.73,32.76,32.76,33.21,32.8,32.71,32.64,32.66,33.29,32.25,32.61,32.61,31.75,32.62,32,32.44,32.5,32.82,33.11,32.64,32.29,32.1,33.32,31.96,32.53,32.81,32.84,32.91,32.27
DSS,0.49,0.47,0.49,0.49,0.47,0.48,0.48,0.47,0.48,0.46,0.93,0.46,0.47,0.46,0.47,0.47,0.47,0.45,0.46,0.48,0.47,0.48,0.47,0.46,0.48,0.48,1,0.47,0.48,0.45
dearseq,0.09,0.09,0.06,0.09,0.07,0.1,0.09,0.08,0.06,0.08,0.08,0.1,0.08,0.08,0.55,0.08,0.09,0.08,0.07,0.1,0.09,0.08,0.06,0.08,0.09,0.1,0.08,0.08,0.06,0.08
NOISeq,1.28,1.3,1.39,1.31,1.3,1.3,1.3,1.34,1.32,1.35,1.31,1.3,1.37,1.35,1.37,1.34,1.33,1.31,1.34,1.34,1.3,1.36,1.86,1.32,1.35,1.43,1.32,1.32,1.39,1.28
