,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,29.37,23.09,23.56,23.31,25.1,21.6,24.57,21.81,21.02,23.71,22.66,20.17,22.63,25.79,22.69,22.13,24.84,22.23,23.64,23.87,25.4,24.04,21.67,25.65,24.34,22.5,20.85,23.42,25.69,29.56
edgeR,1.75,1.75,1.77,1.75,1.75,1.75,1.76,1.77,1.73,1.75,1.76,1.75,1.76,1.75,1.76,1.78,1.77,1.75,1.75,1.77,1.75,1.76,1.74,1.77,1.79,1.77,1.73,1.75,1.75,1.75
DESeq2,2.16,2.16,2.17,2.14,2.14,2.14,2.17,2.2,2.22,2.18,2.19,2.18,2.19,2.18,2.13,2.17,2.2,2.18,2.17,2.15,2.21,2.16,2.15,2.19,2.15,2.19,2.17,2.2,2.7,2.16
voom,1.61,1.63,1.58,1.59,1.59,1.59,1.6,1.6,1.56,1.6,1.61,1.59,1.61,1.61,2.09,1.6,1.58,1.59,1.59,1.6,1.59,1.59,1.6,1.61,1.58,1.59,1.6,1.58,1.6,1.59
tweeDEseq,292.37,284.03,303.45,306.18,337.95,278.14,274.93,272.75,288.05,258.28,316.78,305.89,322.55,276.46,291.94,299.17,316.92,307.89,337.77,315.17,297.86,322.17,298.59,337.18,321.73,294.78,282.45,333.47,279.01,286.85
ALDEx2,17.02,17.48,17.64,16.73,16.88,16.93,16.85,17.4,17.98,16.61,16.94,18.09,17.28,17.71,17.19,17.09,17.36,17.34,16.67,17.59,16.44,17.44,17.09,17.25,17.93,17.75,17.05,16.51,18.33,17.14
DSS,0.7,0.7,0.74,0.75,0.72,0.75,0.78,1.21,0.71,0.73,0.7,0.71,1.27,0.72,0.76,0.72,0.75,0.72,1.17,0.72,0.72,0.7,0.77,0.72,0.73,0.72,0.71,0.69,0.8,0.7
dearseq,0.14,0.14,0.12,0.13,0.12,0.12,0.12,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.13,0.13,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.15,0.16,0.14,0.14
NOISeq,1.38,1.41,1.41,1.46,1.43,1.45,1.47,1.45,1.46,1.47,2,1.4,1.48,1.43,1.42,1.53,1.44,1.51,1.44,1.39,1.46,1.39,1.41,1.45,1.4,1.45,1.42,1.9,1.45,1.92
