,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.06,0.0129,0.00667,0.0069,0,0,0,0,0.00654,0,0.01235,0.00629,0.00658,0,0.00581,0.02817,0.02874,0.02273,0.01562,0.00725,0.01136,0.01714,0.0069,0,0.01935,0,0,0.01974,0,0.04317
edgeR,0.13235,0.09326,0.04459,0.06701,0.01948,0.05224,0,0.03279,0.06522,0.09524,0.05528,0.05882,0.0226,0.10909,0.0402,0.14362,0.06667,0.09045,0.05446,0.02206,0.12245,0.09548,0.06215,0.06369,0.0625,0.03261,0.08054,0.09804,0.07104,0.1
DESeq2,0.16744,0.13861,0.07602,0.08081,0.02439,0.07143,0.02762,0.03763,0.08511,0.08939,0.07212,0.05882,0.02841,0.13559,0.04975,0.16244,0.0804,0.11058,0.06863,0.0219,0.12308,0.09596,0.08556,0.07143,0.10714,0.04255,0.08,0.10784,0.07527,0.12683
voom,0.05422,0.02857,0.03509,0.0303,0.00578,0.01389,0.00592,0.0113,0.01765,0,0.02235,0.00581,0.00599,0.01705,0.00568,0.06369,0.02674,0.01648,0.01036,0.01316,0.07143,0.03158,0.02959,0.025,0.01852,0,0.00741,0.04734,0.01198,0.06329
tweeDEseq,0.08271,0.02685,0.03759,0.01351,0.00794,0.00893,0,0.01493,0.01515,0,0.01361,0.00735,0.01418,0.01695,0.00676,0.125,0.02041,0.01325,0.0163,0.01724,0.07843,0.0438,0.08511,0.05645,0.04762,0.0274,0.01786,0.04,0.02098,0.06818
ALDEx2,0.05195,0.01299,0.01325,0,0,0,0,0,0,0,0.00602,0,0.00671,0.01351,0.00592,0.01429,0.00578,0,0,0,0.01754,0,0.0073,0.01471,0.0069,0,0,0.01399,0,0.00763
DSS,0.14286,0.11795,0.10429,0.07853,0.03356,0.05303,0.02793,0.03846,0.08152,0.07285,0.06218,0.03593,0.02353,0.1375,0.05473,0.16754,0.06667,0.105,0.06404,0.02985,0.16256,0.1134,0.08475,0.08333,0.10112,0.03911,0.06383,0.12255,0.09677,0.14833
dearseq,0.08209,0.02027,0.03623,0.02395,0.00758,0.02564,0.00602,0.01418,0.0219,0,0.01351,0.00714,0.01307,0.01613,0.01361,0.11189,0.03125,0.0375,0.0266,0.01613,0.08333,0.03597,0.07299,0.06015,0.0411,0.02632,0.01667,0.04403,0.03356,0.08209
NOISeq,0.0137,0.01282,0.02667,0.03883,0.01,0,0,0,0.01408,0.05618,0.02564,0.0241,0,0,0.00752,0,0.02062,0.02326,0.01724,0,0.0566,0.01389,0.02469,0,0,0.0101,0.01724,0.01064,0.03333,0.01163
