CRH,SST,NPAS4,LINC01299,AP003393.1,HBA2,AL162511.1,AC020909.2,PNOC,KRT5,C7,FCGR3B,FMOD,SCARA5,STEAP4,SLPI,CD177,SERPINA5,S100A12,OGN,FOXG1,KCNK15,ARX,ZNF699,GP1BB,HRH1,AP002893.1,BUD13P1,LARS2,PELP1,SLC13A4,PRDM6,FAM20A,DSP,PHLDB2,GAS1,LTBP2,C2orf40,SLC47A1,ANKS6,CMTM3,DNM2,TRABD,TTC7A,AC068888.1,HDAC7,AL133243.2,NCF4,CATSPERG,PCDHA6,EFR3B,ARMT1,MTMR7,NDFIP1,UGCG,CALM1,SATB1,MOAP1,TRAPPC6B,label
-1.40636366531617,0.353954278077067,-4.15078151058925,-2.71041992819909,-1.95355693325303,-1.08014792886214,-3.40356710875903,-2.88227018512575,-1.24813966010127,-2.68444444179583,-1.35079381416136,-1.06480235918748,-2.23713222375216,-1.74283590193738,-2.41618045520115,-3.9501108151271,-3.9501108151271,-3.86309943813747,-2.980710257939,-3.08990954990399,1.68044907618878,-0.470270306145834,0.0945340785427256,-1.36439946621714,1.2687697207729,0.259994537370614,-1.13851993508405,-2.51936469143638,1.04832920587534,1.39829457430597,-2.49785848621541,-2.01727274763914,-1.54398504319222,-0.783485680602779,-1.0447011798664,-1.08014792886214,-0.888420573781314,-2.23713222375216,-1.3992461975473,0.375826352895736,-0.492934165723046,1.7178874590388,0.540566371639891,0.716752939866329,0.259994537370614,1.24486419991934,-1.82621751087643,-1.16622253763339,-1.67517725346357,-2.01727274763914,2.44302376912049,0.528258523965293,0.819031788986747,3.52579515424029,1.18193728267612,5.20165623876073,2.27192418094188,2.44408784157781,1.71158624096207,control
-1.46863974267627,-0.180563009701823,-3.25396832157403,-1.05674374423781,-1.67578295264404,-1.1554785849235,-2.43452741568979,-2.56082114101409,-2.62024456148489,-2.22160541844712,-0.906262793299516,-1.90689467360742,-1.18905488045711,-3.14476902960904,-3.07807765511037,-3.62169310169935,-4.11416958679714,-3.14476902960904,-3.29318903472731,-1.44946982656855,1.48290466310236,-0.928568550813814,-0.222349288686516,-1.29170903451719,0.774126855106869,-0.365735601926616,-1.79356598830042,-2.82318540548158,1.10864022724275,1.43349056865798,-1.52845823788718,-2.26356961754615,-2.27795835499825,-1.16495732887805,-0.420754977517816,-0.697934327770447,-0.668520442564153,-2.70540236982519,-0.955236797895976,0.724274483158831,-0.609431526194148,2.08430912969517,0.487357607912448,0.940917469869946,0.582999517691618,1.10175382521312,-1.6998805042231,-2.15535603290592,-1.62926293700914,-1.65225245523384,2.20659870745344,0.692084432440426,0.819650110130953,3.35377274548871,0.801155527494788,4.94112121662385,2.24004233873385,2.54756889495597,1.58322891724914,control
-1.31565560373478,0.810838482215947,-4.49370943408273,-0.843051192788987,-0.596800066464628,-0.459468795930331,-0.627730367155987,-0.054003687822167,-1.98818349709199,-2.66112797033442,-1.57593870199845,-4.78139150653451,-2.35364327058646,-3.80056225352278,-3.9340936461473,-2.24241763547623,-4.78139150653451,-2.62190725718113,-5.88000379520262,-2.47880641354046,1.72886683398864,0.199929399892973,-0.121102021325337,-3.31505443774108,2.80338157107769,-0.382835569909415,-0.172893530453742,-6.57315097576256,-0.124261581615705,2.368001906398,-1.94817816247829,-2.14233417691925,-2.47880641354046,-1.89101974863834,-1.27483360921453,-1.16150492390752,-1.12641360409625,-2.00880278429473,-1.54927045491629,1.399315040212,-0.532896264485148,2.25358362245835,1.24688701369619,1.25647941338763,1.30158814940925,1.61219924741612,-1.83695252736807,-1.13507166683937,-0.468357743347577,-4.08824432597456,2.18902553357234,0.131263379201545,0.0601674575178146,3.37893624660963,0.718505233411898,4.9261825356882,1.69814167721685,2.17832351137834,1.84311629706371,control
-1.7499438790604,0.22959950935345,-3.44767439864018,0.554048673701525,-1.34918466198965,-0.70931884804264,-0.332451147084648,-0.531984832759725,-2.04233184254959,-3.30457355499951,-2.83456992575377,-6.70577093666166,-3.30457355499951,-3.52771710631372,-4.40318584366762,-4.22086428687366,-3.8153991787655,-3.8153991787655,-6.70577093666166,-2.9215813027434,1.4269355530316,-0.285776008514519,-0.459664171180099,-1.9017498919284,1.40974994488511,-0.515455530808514,-0.943719553881484,-2.48626323148555,0.308144538148866,2.04980903548148,-1.40745357011362,-1.98727206536657,-2.42910481764561,-1.88548937105662,-1.10734897766329,-0.346197067989284,-1.25044982130396,-2.42910481764561,-1.73595763708566,1.57873329059684,-0.98874323525544,2.53004223128755,1.31186622324682,1.59127421242017,1.44844175825257,1.91794209813225,-1.22513201331967,-1.96957248826717,-0.388606249914377,-2.9215813027434,2.15103242006672,0.103268369381318,0.355563430248776,2.9519439464999,0.40247320306988,4.61369113109577,1.80861832742184,2.00435399066055,1.49506632171819,control
-1.58822399660773,-0.118315495446708,-4.65627693174135,-2.09132757427981,-1.17503684240566,-0.051106745753259,-2.86451746251329,-2.32899922615693,-2.48722323137183,-2.13054828743309,-2.67527546287477,-3.0981323136948,-2.28137117716768,-4.09666114380593,-3.84534671552502,-3.4776219353997,-4.09666114380593,-3.4776219353997,-2.95152883950292,-3.9631297511814,1.55130655174388,-0.582985778717082,-0.0337581074186462,-1.72508317932493,1.4640204872096,-0.126369230253806,-1.37913219874917,-2.28137117716768,1.14129942220121,1.58448612415769,-1.54276162253098,-2.28137117716768,-2.28137117716768,-0.930583504504697,-0.705033213159923,-0.973667090641009,-0.811462676006654,-2.3536918387473,-0.930583504504697,0.876123926159231,-0.816824619148039,1.8275946536086,0.533898276186983,0.854123038761472,0.56677795030614,1.36170782517603,-1.44745144272665,-1.98212828231482,-1.53171178634439,-2.03523810762877,2.30454506817748,0.680058501994208,0.570812925518319,3.47899676514174,0.974934850080015,5.17430384998669,2.45196720799019,2.72038762790549,1.66359167733834,control
-1.60490370610716,-0.0935836496315803,-2.64014638084268,-0.451732433188614,-1.1839823397623,-0.0977158869164914,-1.92102371387947,-2.30744062701694,-2.0292372985197,-1.78909617083692,-1.92102371387947,-3.87983726777069,-1.92102371387947,-2.87653515890691,-3.14223832463991,-3.14223832463991,-4.08050796323284,-2.20019509666334,-4.89143817944917,-3.05885671570086,1.41392428224148,-1.17786611274486,-0.146506051085923,-1.15973872815231,0.466326645742284,-1.20882833834883,-1.94699920028273,-1.92102371387947,0.886214143773484,1.55428163993641,-2.56416047386476,-2.28874849400479,-2.40653152966117,-0.989465509874528,-0.48777236967181,-0.974427632509988,-0.974427632509988,-2.58885308645513,-0.940194460867746,0.644911350906824,-0.760279644104356,1.96054008406397,0.238460535473901,0.705130210899878,0.821469202984028,1.10065117242765,-1.55923366927397,-2.32648882198764,-1.81182442191448,-1.69276506189849,1.99228052170472,0.659581540654618,1.23597670727064,3.67839489929124,1.14044828215772,5.2266969354799,2.38425339574871,2.8732823653223,1.91649676425075,control
-1.58160796870806,-0.251883959076568,-4.24086800564084,-2.69027059322968,-2.75279095021101,-0.92408796579127,-3.88419306170211,-3.70187150490816,-1.98208553530519,-2.785580773034,-2.01239088480052,-2.35813675820706,-2.05964376965106,-2.92868161667467,-3.88419306170211,-5.49363097413621,-3.41418943245637,-4.24086800564084,-3.09573570133784,-3.62182879723462,1.79597954731496,-0.393764546312012,-0.000569530795662132,-1.58160796870806,1.68109333570017,0.391083203024891,-0.863768175557747,-2.60325921624005,1.1682237664091,1.48131555438625,-1.50464692757194,-2.19779410813188,-2.23553443611473,-1.08083268079558,-0.701981221205501,-0.908663495465639,-0.685519944151428,-2.10924071079044,-1.58160796870806,0.561981392795524,-0.714507481024681,1.72820485115224,0.370000201461886,0.622261151346824,-0.215516314905694,0.952088845249368,-2.12633514414974,-1.85604481440982,-1.66498957764712,-1.72087003604157,2.29851148770707,0.679112920187283,0.648406431451146,3.5096237258994,0.962353443861251,5.3810899377382,2.49542087130435,2.64274094008462,1.66992863839968,control
-1.29720144705649,0.0693520132571628,-2.72981987985062,-1.72766785737007,-1.76638236955076,-0.483987603449023,-2.49980344924865,-2.16529007711277,-1.91506556719589,-3.20674395194093,-1.63697129589926,-0.509867051436844,-1.83443583279578,-3.05259327211367,-2.63137980703737,-2.80127884383276,-1.52240473133371,-4.99850342116898,-0.523062341855677,-2.6158756205014,1.56676154886638,-0.403383571034394,-0.115701498582613,-1.6782751020405,1.40120016092989,-0.0485621957449842,-1.13078067463742,-3.26390236578088,1.12654460054056,1.53310280403904,-1.53798946235041,-2.45952955011071,-1.60847934010495,-1.08315262564816,-0.428960412824043,-0.863336864426628,-0.618562292986124,-2.3958137357246,-1.06667778844466,0.614624685219086,-0.236329486371228,1.99878782312401,0.578707511797754,1.19147039629485,0.585619257817974,1.31534651190286,-1.5019958597025,-0.970179960044677,-1.43840475692097,-2.78292970516457,2.35500548483543,0.158634331916273,0.252897025591301,3.28994724053256,0.74128949101025,4.88285780637542,2.14260973153433,2.22831146595719,1.33595963906149,control
-3.76370783925338,-1.69210947503457,-4.7445370922651,0.227588347069276,-1.37151058756964,-1.05983300956165,-1.4123325820899,-1.54586397471442,-3.135099179831,-4.33907198415694,-0.686971781546299,-2.33160394210219,-2.40916217644807,-4.45685501981332,-2.12957731422891,-2.34664181946673,-2.24583712034477,-1.55268993978482,-2.19249113963947,-2.92537864884893,1.08097125213519,-0.630934713438588,-0.767975565699387,-1.66109923829201,1.01331260366137,-0.394259155905803,-1.24802953079862,-2.47585355094674,0.510350716355597,1.58041906332595,-1.32136080388417,-2.37741347813349,-1.7741226266954,-1.30518794463857,-1.14722483167666,-0.219131874745875,-1.06402588782168,-2.36190929159752,-1.23797919494512,1.13506436169749,-0.100146193123731,2.47547091310302,0.872234005401467,1.57232670686144,1.26958547873546,1.57443102148133,-1.37151058756964,-1.04735883533647,-0.866415638512639,-2.89871040176677,1.48725583091119,0.321217501052232,0.594602268803188,2.80164515507675,0.519878722607252,4.48523001937689,1.7301249114914,1.78755456984566,1.21259477576237,control
-1.21221607054964,0.206443575072283,-4.00250436988882,-1.68573464190282,-2.14175202917381,-2.11977312245504,-3.17582579670435,-3.46350786915613,-1.75875977691771,-2.45190695747765,-2.21074490066077,-2.14175202917381,-2.11977312245504,-2.23484245223983,-3.30935718932888,-3.64582942595009,-4.15665504971608,-4.33897660651003,-3.05804276104797,-2.69031798092265,1.67718055318832,-1.02843359311601,-0.0457811855427686,-1.45977814921199,0.858414841448042,0.486131999843319,-1.1281329533391,-2.48267861614441,0.828092473428049,1.3826457862745,-2.36489558048802,-2.36489558048802,-2.61621000876893,-0.582438503922283,-0.917976597551699,-1.05806539072238,-0.675414960380388,-2.28485287281449,-1.60460909709045,0.357860768003881,-0.885819485917168,1.6022467241612,0.103674649980283,0.463403748765763,0.0151648246743115,0.838302431660947,-1.85406995672203,-1.69991927689478,-1.87087707503841,-1.78953143558446,2.5149558657746,0.714718177046668,1.19441288221749,3.72973958620475,1.1290835346251,5.30637473074825,2.55041101511392,2.85034206391571,1.90168902623145,control
